,smiles,docking
0,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCC(=O)N3CCN(CC3)CCOC(C=C4)=C[C@@H](C4=5)C(=CN5)CC[NH3+],-13.918444
1,[NH3+]CCC(=CN1)[C@@H](C=12)C=C(C=C2)OCCNC(=O)NCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-13.810138
2,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@@H](C=23)C=C(C=C3)NC(=O)CCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-13.44955
3,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCC(=O)N3CCN(CC3)C(=O)COC(C4)=CC=C(C45)N=CC=5CC[NH3+],-12.984408
4,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCc(ccc3)cc3COC(C=C4)=C[C@@H](C4=5)C(=CN5)CC[NH3+],-12.928978
5,CC(=O)Nc(cc1)ccc1[C@H](C)[NH2+]C[C@H]2CC[N@@H+](CC2)CCCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-12.844005
6,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCc(ccc3)cc3COC(C=C4)=C[C@@H](C4=5)C(=CN5)CC[NH3+],-12.81552
7,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCCCCCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-12.779134
8,C1C[N@H+](C)CC[C@@H]1C(=CN2)[C@@H](C=23)C=C(C=C3)NC(=O)CCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-12.670459
9,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCc(ccc3)cc3COC(C=C4)=C[C@H](C4=5)C(=CN5)CC[NH3+],-12.642885
10,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCCCCCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-12.556553
11,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCCNC(=O)COC(C3)=CC=C(C34)N=CC=4CC[NH3+],-12.4101715
12,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@H](C=23)C=C(C=C3)NC(=O)CCCCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-12.366029
13,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCCNC(=O)NCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-12.309025
14,c1cc(O)c(CO)cc1[C@@H](O)C[NH2+]CCCCCCOCCCCc2cc(ccc2)S(=O)(=O)C3CCCC3,-12.21791
15,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCC(=O)N3CCN(CC3)C(=O)COC(C4)=CC=C(C45)N=CC=5CC[NH3+],-12.160992
16,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCc(ccc3)cc3COC(C=C4)=C[C@@H](C4=5)C(=CN5)CC[NH3+],-11.978615
17,c1cc(O)c(CO)cc1[C@@H](O)C[NH2+]CCCCCCOCCCCc2cc(ccc2)S(=O)(=O)C3CCCC3,-11.956627
18,[NH3+]CCC=1C=NC(C12)=CC=C(C2)OCc(ccc3)cc3COC(C=C4)=C[C@@H](C4=5)C(=CN5)CC[NH3+],-11.892383
19,[NH3+]CCC(=CN1)[C@@H](C=12)C=C(C=C2)OCCNC(=O)NCCOC(C3)=CC=C(C34)N=CC=4CC[NH3+],-11.741113
20,c1cc(Cl)c(Cl)cc1\C=C\C(=O)NCCCCC[N@H+](CC2)CC[C@@H]2C3C=NC(C=34)=CC=C(C4)O,-11.737185
21,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@H](C=23)C=C(C=C3)NC(=O)CCCCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-11.69772
22,[NH3+]CCC(=CN1)[C@@H](C=12)C=C(C=C2)OCC(=O)N3CCN(CC3)C(=O)COC(C4)=CC=C(C45)N=CC=5CC[NH3+],-11.676186
23,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCC(=O)Nc3ccc(cc3)NC(=O)COC(C4)=CC=C(C45)N=CC=5CC[NH3+],-11.641022
24,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@H](C=23)C=C(C=C3)NC(=O)CCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-11.607161
25,c1cc(C)nc(c12)cccc2OCC[N@@H+](CC3)CC[C@@H]3Cc4cc(ccc4)-c5ccoc5,-11.578455
26,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCC(=O)Nc3ccc(cc3)NC(=O)COC(C4)=CC=C(C45)N=CC=5CC[NH3+],-11.449865
27,CC(=O)Nc(ccc1)cc1CC[NH+](CC2)CCN2CCCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-11.382481
28,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCC(=O)N3CCN(CC3)C(=O)COC(C4)=CC=C(C45)N=CC=5CC[NH3+],-11.382433
29,[NH3+]CCC(=CN1)[C@H](C=12)C=C(C=C2)OCC(=O)Nc3ccc(cc3)NC(=O)COC(C4)=CC=C(C45)N=CC=5CC[NH3+],-11.376353
30,CC(=O)Nc(cc1)ccc1C[NH2+]C[C@@H]2CC[N@@H+](C2)CCC(=CN3)[C@@H](C=34)C=C(C=C4)n5cnnc5,-11.323729
31,C1C[N@@H+](C)CC[C@@H]1C(=CN2)[C@H](C=23)C=C(C=C3)NC(=O)CCCCCCC(=O)NC(C4)=CC=C(C4=5)N=CC5[C@H]6CC[N@H+](C)CC6,-11.319657
