Data config,Model config,Section,Output,n_jobs,Load model,Model,Metric,Split type,Split size,Descriptors,n_bits,n_cv,Patience,Gridsearch,n_iter,balanced,ROC AUC,ROC AUC val,gparams
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,1.0,553.0,mlp_sklearn,roc_auc,random,0.1,"['morgan','mordred']",2048,5,100,True,200,0.78935,0.9015,0.8061,"{'solver': 'lbfgs', 'momentum': 0.9, 'max_iter': 5000, 'learning_rate_init': 0.0001, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (1000, 1000), 'early_stopping': True, 'alpha': 1e-06, 'activation': 'relu', 'batch_size': 1, 'class_weight': None, 'epochs': None}"
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,1.0,554.0,mlp_sklearn,roc_auc,random,0.1,"['morgan', 'maccs']",2048,5,100,True,200,0.8161,0.9263,0.8631,"{'solver': 'lbfgs', 'momentum': 0.5, 'max_iter': 5000, 'learning_rate_init': 0.0001, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (500,), 'early_stopping': True, 'alpha': 1e-06, 'activation': 'relu', 'batch_size': 2, 'class_weight': None, 'epochs': None}"
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,1.0,555.0,mlp_sklearn,roc_auc,random,0.1,['morgan'],2048,5,100,True,200,0.8023,0.9181,0.8559,"{'solver': 'lbfgs', 'momentum': 0.2, 'max_iter': 5000, 'learning_rate_init': 0.0001, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (500, 2000, 500), 'early_stopping': True, 'alpha': 1e-05, 'activation': 'relu', 'batch_size': 8, 'class_weight': None, 'epochs': None}"
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,556,mlp_sklearn,roc_auc,random,0.1,"['rdkit', 'morgan']",2048,5,100,True,100,0.8288,0.9194,0.8645,"{'solver': 'lbfgs', 'max_iter': 500, 'hidden_layer_sizes': (2000, 2000, 2000), 'alpha': 1e-06, 'activation': 'relu', 'batch_size': 1, 'class_weight': None, 'epochs': None}"
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['morgan','mordred']",1024,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['morgan', 'maccs']",1024,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,['morgan'],1024,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['rdkit', 'morgan']",1024,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['morgan','mordred']",512,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['morgan', 'maccs']",512,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,['morgan'],512,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['rdkit', 'morgan']",512,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['rdkit', 'morgan', 'mordred', 'maccs']",512,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['morgan','mordred']",256,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['morgan', 'maccs']",256,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,['morgan'],256,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['rdkit', 'morgan']",256,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['rdkit', 'morgan', 'mordred', 'maccs']",256,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['morgan','mordred']",64,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['morgan', 'maccs']",64,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,['morgan'],64,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['rdkit', 'morgan']",64,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['rdkit', 'morgan', 'mordred', 'maccs']",64,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,['maccs'],32,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,"['mordred', 'maccs']",32,5,100,True,100,,,,
/data/data_configs/bace_2.ini,/data/model_configs/configs.ini,MLP_SKLEARN,,,,mlp_sklearn,roc_auc,random,0.1,['mordred'],32,5,100,True,100,,,,
