Data config,Model config,Section,Output,n_jobs,Load model,Model,Metric,Split type,Split size,Descriptors,n_bits,n_cv,Patience,Gridsearch,n_iter,Balanced acc,ROC AUC test,ROC AUC val
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,6.0,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",32,5,100,True,100,0.76195,0.8711,0.8778
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,7.0,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",32,5,100,True,100,0.8153,0.8831,0.8797
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,8.0,rf,roc_auc,scaffold,0.1,['maccs'],32,5,100,True,100,0.8484,0.8939,0.8857
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,9.0,rf,roc_auc,scaffold,0.1,['mordred'],32,5,100,True,100,0.78225,0.8597,0.8543
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,10.0,rf,roc_auc,scaffold,0.1,"['morgan', 'maccs']",32,5,100,True,100,0.7954,0.8796,0.893
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,11.0,rf,roc_auc,scaffold,0.1,"['morgan','mordred']",32,5,100,True,100,0.78185,0.8778,0.8777
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,12.0,rf,roc_auc,scaffold,0.1,['morgan'],32,5,100,True,100,0.76265,0.8493,0.8778
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,13.0,rf,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",32,5,100,True,100,0.7954,0.8723,0.8682
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,14.0,rf,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",32,5,100,True,100,0.76945,0.8643,0.8616
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,15.0,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",32,5,100,True,100,0.789,0.8716,0.8699
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,16.0,rf,roc_auc,scaffold,0.1,['rdkit'],32,5,100,True,100,0.77585,0.8690000000000001,0.863
/data/data_configs/bace.ini,/data/model_configs/configs.ini,REGRESSION,,,17.0,regression,roc_auc,scaffold,0.1,['maccs'],32,5,100,True,100,0.74945,0.8263,0.8401
/data/data_configs/bace.ini,/data/model_configs/configs.ini,REGRESSION,,,18.0,regression,roc_auc,scaffold,0.1,['mordred'],32,5,100,True,100,0.8025,0.8484,0.8464
/data/data_configs/bace.ini,/data/model_configs/configs.ini,REGRESSION,,,,regression,roc_auc,scaffold,0.1,"['morgan', 'maccs']",32,5,100,True,100,0.78325,0.8498,0.8599
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,19.0,logreg,roc_auc,scaffold,0.1,['maccs'],32,5,100,True,100,0.7559,0.8332,0.8388
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,20.0,logreg,roc_auc,scaffold,0.1,['mordred'],32,5,100,True,100,0.76905,0.8484,0.8478
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,21.0,logreg,roc_auc,scaffold,0.1,"['morgan', 'maccs']",32,5,100,True,100,0.7559,0.8418,0.85
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,22.0,logreg,roc_auc,scaffold,0.1,"['morgan','mordred']",32,5,100,True,100,0.76905,0.8491,0.8493
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,23.0,logreg,roc_auc,scaffold,0.1,['morgan'],32,5,100,True,100,0.7221500000000001,0.8203,0.7539
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,24.0,logreg,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",32,5,100,True,100,0.80925,0.8685,0.8707
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,25.0,logreg,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",32,5,100,True,100,0.79575,0.8673,0.8559
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,26.0,logreg,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",32,5,100,True,100,0.8160000000000001,0.8898,0.8655
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,27.0,logreg,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",32,5,100,True,100,0.7897000000000001,0.8437,0.8559
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,28.0,logreg,roc_auc,scaffold,0.1,['rdkit'],32,5,100,True,100,0.7559,0.8297,0.843
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,29.0,knn,roc_auc,scaffold,0.1,['maccs'],32,5,100,True,100,0.8153,0.8751,0.8606
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,30.0,knn,roc_auc,scaffold,0.1,['mordred'],32,5,100,True,100,0.81565,0.8702,0.8902
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,31.0,knn,roc_auc,scaffold,0.1,"['morgan', 'maccs']",32,5,100,True,100,0.8420000000000001,0.8753,0.8697
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,32.0,knn,roc_auc,scaffold,0.1,"['morgan','mordred']",32,5,100,True,100,0.8224,0.8749,0.8953
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,33.0,knn,roc_auc,scaffold,0.1,['morgan'],32,5,100,True,100,0.78825,0.8632,0.8785
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,34,knn,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",32,5,100,True,100,0.8288,0.8714,0.8681
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",32,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",32,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",32,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['rdkit'],32,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['maccs'],64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['mordred'],64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['morgan', 'maccs']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['morgan','mordred']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['morgan'],64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['rdkit'],64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['maccs'],64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['mordred'],64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['morgan', 'maccs']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['morgan','mordred']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['morgan'],64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['rdkit'],64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['maccs'],64,5,100,True,100,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,KNN,,,,knn,roc_auc,scaffold,0.1,['mordred'],64,5,100,True,100,,,
