Data config,Model config,Section,Output,n_jobs,Load model,Model,Metric,Split type,Split size,Descriptors,n_bits,n_cv,Patience,Gridsearch,n_iter,Balanced acc,ROC AUC test,ROC AUC val,gparams
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,35.0,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",32,5,100,True,100,0.76905,0.8486,0.8422,"{'n_estimators': 500, 'min_weight_fraction_leaf': 0.001, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'criterion': 'entropy', 'batch_size': None, 'class_weight': None, 'epochs': None}"
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,36.0,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan','mordred', 'maccs']",32,5,100,True,100,0.78225,0.8706,0.8739,"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.001, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_leaf_nodes': 100, 'criterion': 'entropy', 'batch_size': None, 'class_weight': 'balanced', 'epochs': None}"
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,37.0,rf,roc_auc,scaffold,0.1,['maccs'],32,5,100,True,100,0.8349,0.8861,0.8773,"{'n_estimators': 2000, 'min_weight_fraction_leaf': 0.001, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_leaf_nodes': 100, 'criterion': 'entropy', 'batch_size': None, 'class_weight': 'balanced', 'epochs': None}"
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,38.0,rf,roc_auc,scaffold,0.1,['mordred'],32,5,100,True,100,0.7815000000000001,0.8625,0.8809999999999999,"{'n_estimators': 100, 'min_weight_fraction_leaf': 0.001, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 100, 'criterion': 'gini', 'batch_size': None, 'class_weight': 'balanced', 'epochs': None}"
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,39.0,rf,roc_auc,scaffold,0.1,"['morgan', 'maccs']",32,5,100,True,100,0.8015,0.8747,0.8981,"{'n_estimators': 100, 'min_weight_fraction_leaf': 0.001, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 100, 'criterion': 'gini', 'batch_size': None, 'class_weight': 'balanced', 'epochs': None}"
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,40.0,rf,roc_auc,scaffold,0.1,"['morgan','mordred']",32,5,100,True,100,0.7954,0.8728,0.8741,"{'n_estimators': 100, 'min_weight_fraction_leaf': 0.001, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 100, 'criterion': 'gini', 'batch_size': None, 'class_weight': 'balanced', 'epochs': None}"
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,41,rf,roc_auc,scaffold,0.1,['morgan'],32,5,100,True,100,0.7488,0.8455,0.8662,"{'n_estimators': 100, 'min_weight_fraction_leaf': 0.001, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 100, 'criterion': 'gini', 'batch_size': None, 'class_weight': 'balanced', 'epochs': None}"
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'maccs']",32,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'mordred']",32,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,"['rdkit', 'morgan']",32,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,RF,,,,rf,roc_auc,scaffold,0.1,['rdkit'],32,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,REGRESSION,,,,regression,roc_auc,scaffold,0.1,['maccs'],32,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,REGRESSION,,,,regression,roc_auc,scaffold,0.1,['mordred'],32,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,REGRESSION,,,,regression,roc_auc,scaffold,0.1,"['morgan', 'maccs']",32,5,100,True,100,,,,
/data/data_configs/bace.ini,/data/model_configs/configs.ini,LOGREG,,,,logreg,roc_auc,scaffold,0.1,['maccs'],32,5,100,True,100,,,,
