Model,Data config,Load model,Section,Features,Metric,Split type,Split size,Output,Model config,Descriptor,Fingerprint,n_bits,n_cv,n_jobs,Patience,Gridsearch,n_iter,recall 0,recall 1,ROC AUC test,ROC AUC val,rparams
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,400,0.5122,0.7986,0.6554,0.644,"{'solver': 'lbfgs', 'max_iter': 50, 'class_weight': 'balanced', 'C': 10000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,400,0.4329,0.7554,0.5942,0.5721,"{'solver': 'newton-cg', 'max_iter': 100000000, 'class_weight': None, 'C': 5000000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,400,0.1892,0.8696,0.5294,0.5517,"{'solver': 'newton-cg', 'max_iter': 40, 'class_weight': 'balanced', 'C': 5000000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,400,0.5135,0.7565,0.635,0.6533,"{'solver': 'liblinear', 'max_iter': 1000000, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,400,0.1892,0.8696,0.5294,0.5517,"{'solver': 'newton-cg', 'max_iter': 1000000000, 'class_weight': 'balanced', 'C': 5000000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,400,0.7297,0.7739,0.7518,0.7374,"{'solver': 'newton-cg', 'max_iter': 1000000, 'class_weight': 'balanced', 'C': 10.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,400,0.1892,0.8696,0.5294,0.5517,"{'solver': 'newton-cg', 'max_iter': 1000000000, 'class_weight': 'balanced', 'C': 5000000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,400,0.6757,0.7739,0.7248,0.7279,"{'solver': 'newton-cg', 'max_iter': 1000000, 'class_weight': 'balanced', 'C': 10.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,400,0.1892,0.8696,0.5294,0.5517,"{'solver': 'newton-cg', 'max_iter': 1000000000, 'class_weight': 'balanced', 'C': 5000000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,400,0.7027,0.7217,0.7122,0.7472,"{'solver': 'lbfgs', 'max_iter': 50000000, 'class_weight': 'balanced', 'C': 30}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,400,0.1892,0.8696,0.5294,0.5517,"{'solver': 'liblinear', 'max_iter': 50, 'class_weight': 'balanced', 'C': 5000000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,400,0.7297,0.8,0.7649,0.7124,"{'solver': 'saga', 'max_iter': 30, 'class_weight': 'balanced', 'C': 200.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,100,0.1622,0.8957,0.5289,0.5419,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,100,0.4595,0.8261,0.6428,0.6788,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,100,0.1622,0.8957,0.5289,0.5615,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,100,0.1622,0.8957,0.5289,0.5615,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,100,0.5135,0.7565,0.635,0.6533,"{'solver': 'liblinear', 'max_iter': 1000000, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,100,0.1622,0.8957,0.5289,0.5469,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,256,5,-1,10000,True,100,0.7297,0.7739,0.7518,0.7374,"{'solver': 'newton-cg', 'max_iter': 1000000, 'class_weight': 'balanced', 'C': 10.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,100,0.1622,0.8957,0.5289,0.5469,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,512,5,-1,10000,True,100,0.6757,0.7739,0.7248,0.7279,"{'solver': 'newton-cg', 'max_iter': 1000000, 'class_weight': 'balanced', 'C': 10.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,100,0.1622,0.8957,0.5289,0.5469,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,1024,5,-1,10000,True,100,0.7027,0.7217,0.7122,0.7472,"{'solver': 'lbfgs', 'max_iter': 50000000, 'class_weight': 'balanced', 'C': 30}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,100,0.1622,0.8957,0.5289,0.5469,"{'solver': 'lbfgs', 'max_iter': 60, 'class_weight': 'balanced', 'C': 100000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,maccs,167,5,-1,10000,True,100,0.7297,0.8,0.7649,0.7124,"{'solver': 'saga', 'max_iter': 30, 'class_weight': 'balanced', 'C': 200.0}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,10,0.1622,0.9217,0.542,0.557,"{'solver': 'liblinear', 'max_iter': 150, 'class_weight': 'balanced', 'C': 5000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,fingerprint,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,10,0.4324,0.8261,0.6293,0.6839,"{'solver': 'liblinear', 'max_iter': 10000, 'class_weight': 'balanced', 'C': 1500}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,physical,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,32,5,-1,10000,True,10,0.1622,0.9217,0.542,0.557,"{'solver': 'liblinear', 'max_iter': 150, 'class_weight': 'balanced', 'C': 5000}"
logreg,/data/data_configs/bace.ini,,LOGREG_BACE,all,roc_auc,scaffold,0.1,,/data/model_configs/configs.ini,rdkit,morgan,64,5,-1,10000,True,10,0.1622,0.9217,0.542,0.557,"{'solver': 'liblinear', 'max_iter': 150, 'class_weight': 'balanced', 'C': 5000}"
