Model,Descriptors,n_bits,ROC AUC test,ROC AUC val
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8486,0.8422
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8706,0.8739
rf,['maccs'],32,0.8861,0.8773
rf,['mordred'],32,0.8625,0.8809999999999999
rf,"['morgan', 'maccs']",32,0.8747,0.8981
rf,"['morgan','mordred']",32,0.8728,0.8741
rf,['morgan'],32,0.8455,0.8662
rf,"['rdkit', 'maccs']",32,0.8796,0.8651
rf,"['rdkit', 'mordred']",32,0.8262,0.8408
rf,"['rdkit', 'morgan']",32,0.8732,0.8592
rf,['rdkit'],32,0.8668,0.8619
lr,['maccs'],32,0.8332,0.8388
lr,['mordred'],32,0.8094,0.8224
lr,"['morgan', 'maccs']",32,0.8812,0.8678
lr,"['morgan','mordred']",32,0.8540000000000001,0.8591
lr,['morgan'],32,0.8203,0.7541
lr,"['rdkit', 'maccs']",32,0.8836,0.8638
lr,"['rdkit', 'mordred']",32,0.8094,0.8224
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8818,0.8675
lr,"['rdkit', 'morgan']",32,0.8359,0.8538
lr,['rdkit'],32,0.8287,0.853
knn,['maccs'],32,0.8751,0.8606
knn,['mordred'],32,0.8574,0.8664
knn,"['morgan', 'maccs']",32,0.8753,0.8697
knn,"['morgan','mordred']",32,0.8691,0.8819
knn,['morgan'],32,0.8632,0.8785
knn,"['rdkit', 'maccs']",32,0.8849,0.882
knn,"['rdkit', 'mordred']",32,0.8608,0.8487
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8789,0.8756
knn,"['rdkit', 'morgan']",32,0.8552,0.8778
knn,['rdkit'],32,0.8562,0.8756
xgb,"['morgan', 'maccs']",32,0.8859999999999999,0.8952
xgb,"['morgan','mordred']",32,0.8468,0.8587
xgb,['morgan'],32,0.856,0.8775
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8687,0.8809999999999999
xgb,"['rdkit', 'morgan']",32,0.8699,0.8640000000000001
svc,"['morgan', 'maccs']",32,0.8582,0.867
svc,"['morgan','mordred']",32,0.8617,0.8716
svc,['morgan'],32,0.8122,0.7571
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8649,0.8603
svc,"['rdkit', 'morgan']",32,0.8444,0.8569
svc,"['morgan', 'maccs']",32,0.8524,0.8716
svc,"['morgan','mordred']",32,0.865,0.8744
svc,['morgan'],32,0.8547,0.8397
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8649,0.8604
svc,"['rdkit', 'morgan']",32,0.8373,0.8505
svc,"['morgan', 'maccs']",32,0.8524,0.8716
svc,"['morgan','mordred']",32,0.865,0.8744
svc,['morgan'],32,0.8547,0.8397
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8649,0.8604
svc,"['rdkit', 'morgan']",32,0.8373,0.8505
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7397,0.8426
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7258,0.9027
rf,['maccs'],32,0.7411,0.8674
rf,['mordred'],32,0.7378,0.8897
rf,"['morgan', 'maccs']",32,0.6159,0.8667
rf,"['morgan','mordred']",32,0.7405,0.898
rf,"['rdkit', 'morgan','mordred', 'maccs']",32,0.8711,0.8778
rf,"['rdkit', 'morgan','mordred', 'maccs']",32,0.8831,0.8797
rf,['maccs'],32,0.8939,0.8857
rf,['mordred'],32,0.8597,0.8543
rf,"['morgan', 'maccs']",32,0.8796,0.893
rf,"['morgan','mordred']",32,0.8778,0.8777
rf,['morgan'],32,0.8493,0.8778
rf,"['rdkit', 'maccs']",32,0.8723,0.8682
rf,"['rdkit', 'mordred']",32,0.8643,0.8616
rf,"['rdkit', 'morgan']",32,0.8716,0.8699
rf,['rdkit'],32,0.8690000000000001,0.863
lr,['maccs'],32,0.8332,0.8388
lr,['mordred'],32,0.8484,0.8478
lr,"['morgan', 'maccs']",32,0.8418,0.85
lr,"['morgan','mordred']",32,0.8491,0.8493
lr,['morgan'],32,0.8203,0.7539
lr,"['rdkit', 'maccs']",32,0.8685,0.8707
lr,"['rdkit', 'mordred']",32,0.8673,0.8559
lr,"['rdkit', 'morgan','mordred', 'maccs']",32,0.8898,0.8655
lr,"['rdkit', 'morgan']",32,0.8437,0.8559
lr,['rdkit'],32,0.8297,0.843
knn,['maccs'],32,0.8751,0.8606
knn,['mordred'],32,0.8702,0.8902
knn,"['morgan', 'maccs']",32,0.8753,0.8697
knn,"['morgan','mordred']",32,0.8749,0.8953
knn,['morgan'],32,0.8632,0.8785
knn,"['rdkit', 'maccs']",32,0.8714,0.8681
rf,"['rdkit', 'morgan','mordred', 'maccs']",32,0.8486,0.8422
rf,"['rdkit', 'morgan','mordred', 'maccs']",32,0.8706,0.8739
rf,['maccs'],32,0.8861,0.8773
rf,['mordred'],32,0.8625,0.8809999999999999
rf,"['morgan', 'maccs']",32,0.8747,0.8981
rf,"['morgan','mordred']",32,0.8728,0.8741
rf,['morgan'],32,0.8455,0.8662
rf,"['rdkit', 'maccs']",32,0.8796,0.8651
rf,"['rdkit', 'mordred']",32,0.8262,0.8408
rf,"['rdkit', 'morgan']",32,0.8732,0.8592
rf,['rdkit'],32,0.8668,0.8619
