Model,Descriptors,n_bits,balanced,ROC AUC,ROC AUC val
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.53845,0.8354,0.6534
rf,['maccs'],32,0.5,0.768,0.7601
rf,['mordred'],32,0.5,0.7148,0.5703
rf,"['morgan', 'maccs']",32,0.5,0.7967,0.7819
rf,"['morgan','mordred']",32,0.53845,0.743,0.5845
rf,['morgan'],32,0.5,0.6442,0.6074
rf,"['rdkit', 'maccs']",32,0.5,0.8613,0.753
rf,"['rdkit', 'mordred']",32,0.53845,0.8159,0.6656
rf,"['rdkit', 'morgan']",32,0.5,0.7831,0.7043
rf,['rdkit'],32,0.5,0.8014,0.7331
lr,['maccs'],32,0.5344,0.8155,0.8833
lr,['mordred'],32,0.57285,0.758,0.7426
lr,"['morgan', 'maccs']",32,0.56875,0.8255,0.8822
lr,"['morgan','mordred']",32,0.5769,0.7567,0.7546
lr,['morgan'],32,0.49595,0.5453,0.759
lr,"['rdkit', 'maccs']",32,0.599,0.8707,0.8671
lr,"['rdkit', 'mordred']",32,0.53845,0.7308,0.7564
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.53025,0.8064,0.8383
lr,"['rdkit', 'morgan']",32,0.52205,0.785,0.7741
lr,['rdkit'],32,0.52205,0.8228,0.7774
knn,['maccs'],32,0.57475,0.551,0.7432
knn,['mordred'],32,0.5444,0.6357,0.5278
knn,"['morgan', 'maccs']",32,0.57475,0.5553,0.6761
knn,"['morgan','mordred']",32,0.49375,0.6542,0.6036
knn,['morgan'],32,0.49185,0.5241,0.6254
knn,"['rdkit', 'maccs']",32,0.5744,0.5511,0.6102
knn,"['rdkit', 'mordred']",32,0.48925,0.7043,0.5249
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.5785,0.6756,0.6024
knn,"['rdkit', 'morgan']",32,0.4713,0.669,0.4264
knn,['rdkit'],32,0.4754,0.5605,0.4994
svc,"['morgan', 'maccs']",32,0.53845,0.7636,0.8473
svc,"['morgan','mordred']",32,0.53845,0.7999,0.7917
svc,['morgan'],32,0.5,0.5372,0.6325
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.53845,0.7812,0.8239
svc,"['rdkit', 'morgan']",32,0.52615,0.809,0.7752
xgb,"['morgan', 'maccs']",32,0.56875,0.8218,0.7874
xgb,"['morgan','mordred']",32,0.5303,0.8393,0.8299
xgb,['morgan'],32,0.48375,0.6341,0.7557
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.75285,0.918,0.8599
xgb,"['rdkit', 'morgan']",32,0.5646,0.8493,0.7774
rf,['maccs'],64,0.5,0.7755,0.7841
rf,['mordred'],64,0.53845,0.7555,0.6292
rf,"['morgan', 'maccs']",64,0.53845,0.8354,0.691
rf,"['morgan','mordred']",64,0.53845,0.7992,0.6216
rf,['morgan'],64,0.5,0.6379,0.5115
rf,"['rdkit', 'maccs']",64,0.5,0.8739,0.7409
rf,"['rdkit', 'mordred']",64,0.53845,0.7951,0.6678
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.53845,0.8146,0.6611
rf,"['rdkit', 'morgan']",64,0.5,0.8064,0.6822
rf,['rdkit'],64,0.5,0.8153,0.7043
lr,['maccs'],64,0.5344,0.8155,0.8833
lr,['mordred'],64,0.53845,0.7505,0.7601
lr,"['morgan', 'maccs']",64,0.56875,0.8318,0.8811
lr,"['morgan','mordred']",64,0.5769,0.7536,0.7514
lr,['morgan'],64,0.5,0.5722,0.5954
lr,"['rdkit', 'maccs']",64,0.5687,0.8323,0.8738
lr,"['rdkit', 'mordred']",64,0.53845,0.7289,0.7398
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.53025,0.8058,0.8339
lr,"['rdkit', 'morgan']",64,0.52205,0.7207,0.7309
lr,['rdkit'],64,0.52205,0.8228,0.7774
knn,['maccs'],64,0.57475,0.551,0.7432
knn,['mordred'],64,0.5444,0.6357,0.5278
knn,"['morgan', 'maccs']",64,0.5788,0.556,0.6761
knn,"['morgan','mordred']",64,0.49375,0.6488,0.6036
knn,['morgan'],64,0.51405,0.4897,0.5251
knn,"['rdkit', 'maccs']",64,0.5744,0.5511,0.6102
knn,"['rdkit', 'mordred']",64,0.48925,0.7043,0.5249
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.5785,0.675,0.6024
knn,"['rdkit', 'morgan']",64,0.4713,0.6236,0.4535
knn,['rdkit'],64,0.4754,0.5605,0.4994
svc,"['morgan', 'maccs']",64,0.53845,0.7548,0.8321
svc,"['morgan','mordred']",64,0.53845,0.7936,0.7546
svc,['morgan'],64,0.5,0.5891,0.5682
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.53845,0.7806,0.8228
svc,"['rdkit', 'morgan']",64,0.51795,0.7301,0.7398
xgb,"['morgan', 'maccs']",64,0.5647,0.9018,0.8233
xgb,"['morgan','mordred']",64,0.5303,0.7473,0.7993
xgb,['morgan'],64,0.49185,0.5413,0.4689
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.75285,0.912,0.8638
xgb,"['rdkit', 'morgan']",64,0.5646,0.7478,0.7685
rf,['maccs'],256,0.5,0.7942,0.807
rf,['mordred'],256,0.5,0.7004,0.5671
rf,"['morgan', 'maccs']",256,0.53845,0.8386,0.6877
rf,"['morgan','mordred']",256,0.53845,0.7511,0.5856
rf,['morgan'],256,0.5,0.6867,0.7208
rf,"['rdkit', 'maccs']",256,0.5,0.86,0.753
rf,"['rdkit', 'mordred']",256,0.5,0.6999,0.6157
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.53845,0.7995,0.6645
rf,"['rdkit', 'morgan']",256,0.5,0.7774,0.6877
rf,['rdkit'],256,0.5,0.8348,0.7032
lr,['maccs'],256,0.59915,0.858,0.8964
lr,['mordred'],256,0.53845,0.7498,0.7372
lr,"['morgan', 'maccs']",256,0.5303,0.823,0.8779
lr,"['morgan','mordred']",256,0.5769,0.7705,0.7623
lr,['morgan'],256,0.53845,0.7198,0.7405
lr,"['rdkit', 'maccs']",256,0.5687,0.8462,0.8682
lr,"['rdkit', 'mordred']",256,0.53435,0.7308,0.7586
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.53025,0.8108,0.8306
lr,"['rdkit', 'morgan']",256,0.5,0.7390000000000001,0.6899
lr,['rdkit'],256,0.52205,0.8228,0.7774
knn,['maccs'],256,0.57475,0.551,0.7432
knn,['mordred'],256,0.5444,0.6357,0.5278
knn,"['morgan', 'maccs']",256,0.48375,0.5503,0.6325
knn,"['morgan','mordred']",256,0.52625,0.5976,0.6025
knn,['morgan'],256,0.4634,0.4903,0.6014
knn,"['rdkit', 'maccs']",256,0.5744,0.5511,0.6102
knn,"['rdkit', 'mordred']",256,0.48925,0.7043,0.5249
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.5785,0.6721,0.6035
knn,"['rdkit', 'morgan']",256,0.50565,0.5605,0.5271
knn,['rdkit'],256,0.4754,0.5605,0.4994
svc,"['morgan', 'maccs']",256,0.53845,0.778,0.8522
svc,"['mordred', 'maccs']",256,0.53845,0.7967,0.8321
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.53845,0.7743,0.8051
svc,['maccs'],256,0.53845,0.7674,0.8604
svc,['mordred'],256,0.53845,0.8061,0.8124
svc,"['morgan', 'maccs']",256,0.53845,0.778,0.8517
svc,"['morgan','mordred']",256,0.53845,0.7805,0.8146
svc,['morgan'],256,0.53845,0.7342,0.7415
svc,"['rdkit', 'maccs']",256,0.5605,0.773,0.856
svc,"['rdkit', 'mordred']",256,0.53845,0.8102,0.8084
svc,"['rdkit', 'morgan']",256,0.5,0.7144,0.7885
svc,['rdkit'],256,0.63335,0.8228,0.7553
xgb,"['morgan', 'maccs']",256,0.5303,0.9012,0.8648
xgb,"['morgan','mordred']",256,0.5303,0.8499,0.8179
xgb,['morgan'],256,0.48375,0.818,0.6652
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.75285,0.918,0.8649
xgb,"['rdkit', 'morgan']",256,0.51795,0.8373,0.7852
rf,['maccs'],512,0.5,0.7742,0.7884
rf,['mordred'],512,0.5,0.6704,0.5562
rf,"['morgan', 'maccs']",512,0.53845,0.8247,0.6777
rf,"['morgan','mordred']",512,0.5,0.6385,0.5431
rf,['morgan'],512,0.5,0.7017,0.711
rf,"['rdkit', 'maccs']",512,0.5,0.8802,0.742
rf,"['rdkit', 'mordred']",512,0.53845,0.7963,0.6501
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.53845,0.826,0.6822
rf,"['rdkit', 'morgan']",512,0.5,0.7736,0.6755
rf,['rdkit'],512,0.5,0.7926,0.7209
lr,['maccs'],512,0.59915,0.8643,0.8986
lr,['mordred'],512,0.6154,0.7661,0.7808
lr,"['morgan', 'maccs']",512,0.5303,0.8599,0.8648
lr,"['morgan','mordred']",512,0.5,0.7104,0.6532
lr,['morgan'],512,0.53845,0.8136,0.6663
