Model,Data,Section,Features,Output,Configs,Fingerprint,n_bits,n_jobs,Patience,Gridsearch,Dummy,n_iter,MUV-466 train acc,MUV-466 test acc,MUV-548 train acc,MUV-548 test acc  ,MUV-600 train acc,MUV-600 test acc,MUV-644 train acc,MUV-644 test acc,MUV-652 train acc,MUV-652 test acc,MUV-689 train acc,MUV-689 test acc,MUV-692 train acc,MUV-692 test acc,MUV-712 train acc,MUV-712 test acc,MUV-713 train acc,MUV-713 test acc,MUV-733 train acc,MUV-733 test acc,MUV-737 train acc,MUV-737 test acc,MUV-810 train acc,MUV-810 test acc,MUV-832 train acc,MUV-832 test acc,MUV-846 train acc,MUV-846 test acc,MUV-852 train acc,MUV-852 test acc,MUV-858 train acc,MUV-858 test acc,MUV-859 train acc,MUV-859 test acc
logreg,data/preprocessed/muv_morgan_32.csv,LOGREG_MUV,all,,,morgan,32,-1,500,True,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logreg,data/preprocessed/muv_morgan_32.csv,LOGREG_MUV,fingerprint,,,morgan,32,-1,500,True,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logreg,data/preprocessed/muv_morgan_32.csv,LOGREG_MUV,physical,,,morgan,32,-1,500,True,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf,data/preprocessed/muv_morgan_32.csv,RF_MUV,all,,,morgan,32,-1,500,True,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf,data/preprocessed/muv_morgan_32.csv,RF_MUV,fingerprint,,,morgan,32,-1,500,True,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf,data/preprocessed/muv_morgan_32.csv,RF_MUV,physical,,,morgan,32,-1,500,True,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svc,data/preprocessed/muv_morgan_32.csv,SVC_MUV,all,,,morgan,32,-1,500,True,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svc,data/preprocessed/muv_morgan_32.csv,SVC_MUV,fingerprint,,,morgan,32,-1,500,True,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svc,data/preprocessed/muv_morgan_32.csv,SVC_MUV,physical,,,morgan,32,-1,500,True,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgb,data/preprocessed/muv_morgan_32.csv,XGB_MUV,all,,,morgan,32,-1,500,True,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
