epoch;acc;loss;val_acc;val_loss
0;0.525;nan;0.75;nan
1;0.9125;nan;0.75;nan
2;0.9125;nan;0.75;nan
3;0.9125;nan;0.75;nan
4;0.9125;nan;0.75;nan
5;0.9125;nan;0.75;nan
6;0.9125;nan;0.75;nan
7;0.9125;nan;0.75;nan
8;0.9125;nan;0.75;nan
9;0.9125;nan;0.75;nan
10;0.9125;nan;0.75;nan
11;0.9125;nan;0.75;nan
12;0.9125;nan;0.75;nan
13;0.9125;nan;0.75;nan
14;0.9125;nan;0.75;nan
15;0.9125;nan;0.75;nan
16;0.9125;nan;0.75;nan
17;0.9125;nan;0.75;nan
18;0.9125;nan;0.75;nan
19;0.9125;nan;0.75;nan
20;0.9125;nan;0.75;nan
