Model,n_bits,ROC AUC,error
xgb,32,0.5305,0.0
svc,32,0.4495,0.0
rf,32,0.57785,0.014249999999999985
lr,32,0.48035,0.005350000000000021
knn,32,0.6684,0.0
xgb,64,0.5763,0.0
svc,64,0.5103,0.0
rf,64,0.64835,0.007649999999999935
lr,64,0.54005,4.999999999999449e-05
knn,64,0.5877,0.0
xgb,256,0.5594,0.0
svc,256,0.5374,0.0
rf,256,0.6312,0.07750000000000001
lr,256,0.5343,0.0
knn,256,0.6312,0.0
xgb,512,0.6135,0.0
svc,512,0.47835,4.999999999999449e-05
rf,512,0.63525,0.05504999999999999
lr,512,0.48,0.0020999999999999908
knn,512,0.6182,0.0
xgb,1024,0.5572,0.0
svc,1024,0.4635,0.0
rf,1024,0.61295,0.008850000000000025
lr,1024,0.4882,0.0
knn,1024,0.5749,0.0
xgb,2048,0.6446,0.0
svc,2048,0.5118,0.0
rf,2048,0.6839,0.0011000000000000454
lr,2048,0.52335,0.02344999999999997
knn,2048,0.5968,0.0
