Model,n_bits,ROC AUC,error
xgb,32,0.792,0.0
svc,32,0.66325,4.999999999999449e-05
rf,32,0.6818,0.048099999999999976
lr,32,0.77165,0.0032500000000000306
knn,32,0.6042,0.0
xgb,64,0.7795,0.0
svc,64,0.6713,0.0
rf,64,0.7579,0.03749999999999998
lr,64,0.7863,0.0
knn,64,0.6017,0.0
xgb,256,0.7819,0.0
svc,256,0.6468,0.0
rf,256,0.7882,0.0030000000000000027
lr,256,0.7562,0.0010999999999999899
knn,256,0.5805,0.0
xgb,512,0.7021,0.0
svc,512,0.6181,0.0
rf,512,0.7955,0.010000000000000009
lr,512,0.71875,0.004650000000000043
knn,512,0.5858,0.0
xgb,1024,0.7748,0.0
svc,1024,0.62145,5.0000000000050004e-05
rf,1024,0.70225,0.05924999999999997
lr,1024,0.7135,0.0
knn,1024,0.5604,0.0
xgb,2048,0.7469,0.0
svc,2048,0.6016,0.0
rf,2048,0.7806,0.006500000000000006
lr,2048,0.7091,0.0
knn,2048,0.5867,0.0
