Model,n_bits,ROC AUC,error
xgb,32,0.5949,0.0
svc,32,0.67075,4.999999999999449e-05
rf,32,0.6356,0.03889999999999999
lr,32,0.7242,0.0
knn,32,0.436,0.0
xgb,64,0.7505,0.0
svc,64,0.741,0.0
rf,64,0.7853,0.0047000000000000375
lr,64,0.7121,0.0
knn,64,0.5513,0.0
xgb,256,0.6672,0.0
svc,256,0.605,0.0
rf,256,0.66125,0.014249999999999985
lr,256,0.5944,0.0
knn,256,0.3704,0.0
xgb,512,0.5169,0.0
svc,512,0.5223,0.0
rf,512,0.69185,0.04144999999999999
lr,512,0.5187,0.0
knn,512,0.4931,0.0
xgb,1024,0.6072,0.0
svc,1024,0.4414,9.999999999998899e-05
rf,1024,0.68055,0.008649999999999991
lr,1024,0.48905,4.999999999999449e-05
knn,1024,0.3844,0.0
xgb,2048,0.5742,0.0
svc,2048,0.4963,0.0
rf,2048,0.6631,0.007699999999999985
lr,2048,0.5267,0.0
knn,2048,0.4819,0.0
