Model,n_bits,ROC AUC,error
xgb,32,0.744,0.0
svc,32,0.6407,0.0001000000000000445
rf,32,0.78375,0.013949999999999962
lr,32,0.7315,0.0006999999999999784
knn,32,0.6467,0.0
xgb,64,0.7856,0.0
svc,64,0.64585,4.999999999999449e-05
rf,64,0.78285,0.0034500000000000086
lr,64,0.7352,0.0029000000000000137
knn,64,0.6528,0.0
xgb,256,0.7805,0.0
svc,256,0.6072,0.0
rf,256,0.7806,0.007599999999999996
lr,256,0.71705,0.0016499999999999848
knn,256,0.5385,0.0
xgb,512,0.7851,0.0
svc,512,0.5369,9.999999999998899e-05
rf,512,0.75155,0.02855000000000002
lr,512,0.7094,0.006000000000000005
knn,512,0.4981,0.0
xgb,1024,0.6287,0.0
svc,1024,0.5356,0.0
rf,1024,0.77945,0.006350000000000022
lr,1024,0.72065,0.01965
knn,1024,0.5186,0.0
xgb,2048,0.7937,0.0
svc,2048,0.6946,0.0
rf,2048,0.7677,0.00930000000000003
lr,2048,0.73075,0.002950000000000008
knn,2048,0.52,0.0
