Model,n_bits,ROC AUC,error
xgb,32,0.7502,0.0
svc,32,0.6915,9.999999999998899e-05
rf,32,0.73425,0.022749999999999992
lr,32,0.697,0.0
knn,32,0.4448,0.0
xgb,64,0.7045,0.0
svc,64,0.6459,0.0
rf,64,0.7975,0.0009000000000000119
lr,64,0.6685,0.0
knn,64,0.5229,0.0
xgb,256,0.7189,0.0
svc,256,0.5575,0.0
rf,256,0.73895,0.06105000000000005
lr,256,0.5921,0.0
knn,256,0.5686,0.0
xgb,512,0.6811,0.0
svc,512,0.4641,0.0
rf,512,0.7996,0.0016000000000000458
lr,512,0.5326,0.0
knn,512,0.5326,0.0
xgb,1024,0.7198,0.0
svc,1024,0.48175,4.999999999999449e-05
rf,1024,0.60065,0.06855
lr,1024,0.5459,0.0
knn,1024,0.5207,0.0
xgb,2048,0.6143,0.0
svc,2048,0.477,0.0
rf,2048,0.7744,0.0049000000000000155
lr,2048,0.5798,0.0
knn,2048,0.4592,0.0
