Model,n_bits,ROC AUC,error
xgb,32,0.93375,0.00045000000000000595
svc,32,0.88795,4.999999999999449e-05
rf,32,0.9158,0.0015000000000000013
lr,32,0.8833,0.0
knn,32,0.8728,0.00040000000000001146
xgb,64,0.9356,0.0
svc,64,0.88,0.0
rf,64,0.914,0.0020999999999999908
lr,64,0.8773,0.0
knn,64,0.8761,0.0
xgb,256,0.93525,0.00495000000000001
svc,256,0.8952,0.0
rf,256,0.92175,0.0026499999999999857
lr,256,0.9017,0.0
knn,256,0.8876,0.0
xgb,512,0.9336,0.008000000000000007
svc,512,0.8994,0.0
rf,512,0.9232,0.0009000000000000119
lr,512,0.90725,0.0009500000000000064
knn,512,0.87015,0.009850000000000025
xgb,1024,0.9428,0.0
svc,1024,0.9145,0.0
rf,1024,0.92695,0.0011500000000000399
lr,1024,0.92095,0.0016499999999999848
knn,1024,0.87705,0.01915
xgb,2048,0.9426,0.0009000000000000119
svc,2048,0.92125,4.999999999999449e-05
rf,2048,0.9307,0.005799999999999972
lr,2048,0.9307,0.0
knn,2048,0.87665,0.0028499999999999637
