Model,n_bits,ROC AUC,error
xgb,32,0.919,0.004799999999999971
svc,32,0.89425,4.999999999999449e-05
rf,32,0.8707,0.0006999999999999784
lr,32,0.91295,0.0014500000000000068
knn,32,0.9226,0.0
xgb,64,0.9232,0.0005999999999999894
svc,64,0.8936,0.0
rf,64,0.9038,0.0028000000000000247
lr,64,0.90915,0.0023499999999999632
knn,64,0.9245,0.0
xgb,256,0.9256,0.00019999999999997797
svc,256,0.8929,0.0
rf,256,0.90845,0.002549999999999941
lr,256,0.9109,9.999999999993348e-05
knn,256,0.9329,0.0023000000000000242
xgb,512,0.9232,0.0012999999999999678
svc,512,0.897,0.0
rf,512,0.9008,0.003599999999999992
lr,512,0.9165,0.0
knn,512,0.91595,0.012749999999999984
xgb,1024,0.92375,4.999999999999449e-05
svc,1024,0.8991,0.009299999999999975
rf,1024,0.90975,0.003249999999999975
lr,1024,0.92095,0.0020499999999999408
knn,1024,0.9129,0.010799999999999976
xgb,2048,0.92445,0.0021499999999999853
svc,2048,0.9068,0.013899999999999968
rf,2048,0.892,0.022399999999999975
lr,2048,0.9304,0.0010000000000000009
knn,2048,0.9206,0.0
