Model,n_bits,ROC AUC,error
xgb,32,0.91345,0.006149999999999989
svc,32,0.8228,0.0
rf,32,0.8983,0.007500000000000007
lr,32,0.8194,0.0022999999999999687
knn,32,0.91105,0.00024999999999997247
xgb,64,0.91385,0.016149999999999998
svc,64,0.82905,4.999999999993898e-05
rf,64,0.90815,0.006649999999999989
lr,64,0.8354,0.0
knn,64,0.8985,0.013600000000000001
xgb,256,0.9368,0.0
svc,256,0.8813,0.0005999999999999894
rf,256,0.90795,0.00045000000000000595
lr,256,0.9022,0.0
knn,256,0.89435,0.01364999999999994
xgb,512,0.9434,9.999999999998899e-05
svc,512,0.88865,0.00605
rf,512,0.90365,0.0015499999999999958
lr,512,0.90285,0.0013500000000000179
knn,512,0.89085,0.025650000000000006
xgb,1024,0.9451,0.0
svc,1024,0.90875,0.0026499999999999857
rf,1024,0.9301,9.999999999998899e-05
lr,1024,0.9241,0.0008000000000000229
knn,1024,0.8714,0.0
xgb,2048,0.9403,0.0
svc,2048,0.92375,0.0014500000000000068
rf,2048,0.91925,0.017850000000000033
lr,2048,0.9347,0.0
knn,2048,0.8721,0.0
