Model,n_bits,ROC AUC,error
xgb,32,0.9272,0.0
svc,32,0.89525,0.00014999999999998348
rf,32,0.9021,0.0014000000000000123
lr,32,0.9128,0.0
knn,32,0.91685,0.013550000000000006
xgb,64,0.9217,0.0023000000000000242
svc,64,0.8951,0.0
rf,64,0.9044,0.0007000000000000339
lr,64,0.9125,0.0008000000000000229
knn,64,0.9042,0.0
xgb,256,0.9248,0.00030000000000002247
svc,256,0.89605,0.005349999999999966
rf,256,0.88785,0.016349999999999976
lr,256,0.9187,0.0
knn,256,0.9117,0.0
xgb,512,0.9288,0.0015000000000000013
svc,512,0.89585,0.007250000000000034
rf,512,0.9068,0.003899999999999959
lr,512,0.921,0.0
knn,512,0.8975,0.0
xgb,1024,0.9268,0.0
svc,1024,0.90325,0.01144999999999996
rf,1024,0.91695,0.000250000000000028
lr,1024,0.9198,0.0006999999999999784
knn,1024,0.9091,0.0
xgb,2048,0.92725,0.0046499999999999875
svc,2048,0.91065,0.013149999999999995
rf,2048,0.909,0.005500000000000005
lr,2048,0.93165,0.0018500000000000183
knn,2048,0.8961,0.0
