Model,n_bits,ROC AUC,error
xgb,32,0.92335,0.003249999999999975
svc,32,0.8775,0.003300000000000025
rf,32,0.91845,0.0009500000000000064
lr,32,0.8786,0.0
knn,32,0.8931,0.013000000000000012
xgb,64,0.92095,0.009749999999999981
svc,64,0.88015,0.0008499999999999619
rf,64,0.9098,0.0021000000000000463
lr,64,0.8831,0.0
knn,64,0.9036,0.015699999999999992
xgb,256,0.93095,0.005150000000000043
svc,256,0.88835,0.00385000000000002
rf,256,0.9256,0.0005999999999999894
lr,256,0.8979,0.0
knn,256,0.8914,0.0
xgb,512,0.9301,0.0007999999999999674
svc,512,0.8781,0.0050000000000000044
rf,512,0.916,0.008799999999999975
lr,512,0.8984,0.0
knn,512,0.88175,0.005250000000000032
xgb,1024,0.9334,0.0017000000000000348
svc,1024,0.9028,0.0
rf,1024,0.9247,9.999999999998899e-05
lr,1024,0.91455,0.0008500000000000174
knn,1024,0.8861,0.0007000000000000339
xgb,2048,0.9342,0.0
svc,2048,0.91795,4.999999999993898e-05
rf,2048,0.9261,0.0005999999999999894
lr,2048,0.9254,0.0
knn,2048,0.8733,0.0
