Model,n_bits,ROC AUC,error
xgb,32,0.8907,0.0
svc,32,0.8422,0.0
rf,32,0.8688,0.0031999999999999806
lr,32,0.8536,0.0
knn,32,0.8813,0.0
xgb,64,0.8929,0.0
svc,64,0.8704,0.0
rf,64,0.87345,0.0016499999999999848
lr,64,0.8595,0.0
knn,64,0.8874,0.0
xgb,256,0.9071,0.0
svc,256,0.8883,0.0
rf,256,0.88305,0.003449999999999953
lr,256,0.88575,4.999999999999449e-05
knn,256,0.8688,0.0
xgb,512,0.9096,0.0
svc,512,0.9023,0.0
rf,512,0.89095,0.0025499999999999967
lr,512,0.8919,0.0
knn,512,0.8774,0.0
xgb,1024,0.904,0.0
svc,1024,0.9044,0.0
rf,1024,0.8931,0.0028000000000000247
lr,1024,0.90125,0.00034999999999996145
knn,1024,0.865,0.0
xgb,2048,0.9127,0.0
svc,2048,0.9127,0.0
rf,2048,0.8926,0.00020000000000003348
lr,2048,0.9094,0.0
knn,2048,0.8552,0.0
