Model,n_bits,ROC AUC,error
xgb,32,0.8357,0.0
svc,32,0.875,9.999999999998899e-05
rf,32,0.85185,0.00275000000000003
lr,32,0.8598,0.0
knn,32,0.8732,0.0
xgb,64,0.8325,0.0
svc,64,0.8808,0.0
rf,64,0.8589,0.005100000000000049
lr,64,0.8057,9.999999999998899e-05
knn,64,0.8785,0.0
xgb,256,0.8779,0.0
svc,256,0.8569,0.0
rf,256,0.847,0.007299999999999973
lr,256,0.8732,0.0
knn,256,0.8766,0.0
xgb,512,0.838,0.0
svc,512,0.8862,0.0
rf,512,0.84725,0.01094999999999996
lr,512,0.8776,0.0001000000000000445
knn,512,0.8697,0.0
xgb,1024,0.8545,0.0
svc,1024,0.8749,0.0
rf,1024,0.85115,0.00035000000000001696
lr,1024,0.8829,0.0
knn,1024,0.8726,0.0
xgb,2048,0.8496,0.0
svc,2048,0.8948,0.0
rf,2048,0.85575,0.00045000000000000595
lr,2048,0.8908,9.999999999998899e-05
knn,2048,0.8547,0.0
