Model,n_bits,ROC AUC,error
xgb,32,0.8576,0.0
svc,32,0.8205,0.0
rf,32,0.85,0.0014000000000000123
lr,32,0.8319,0.0
knn,32,0.857,0.0
xgb,64,0.8884,0.0
svc,64,0.82535,4.999999999999449e-05
rf,64,0.8545,0.0004999999999999449
lr,64,0.8266,0.0
knn,64,0.8609,0.0
xgb,256,0.8643,0.0
svc,256,0.8763,0.0
rf,256,0.86745,0.006749999999999978
lr,256,0.8583,0.0
knn,256,0.86,0.0
xgb,512,0.9094,0.0
svc,512,0.8915,0.0
rf,512,0.88115,0.000150000000000039
lr,512,0.8583,0.0
knn,512,0.817,0.0
xgb,1024,0.9016,0.0
svc,1024,0.8914,0.0
rf,1024,0.89025,4.999999999999449e-05
lr,1024,0.882,0.00019999999999997797
knn,1024,0.8527,0.0
xgb,2048,0.9058,0.0
svc,2048,0.8964,0.0
rf,2048,0.89605,0.0006500000000000394
lr,2048,0.8944,0.00030000000000002247
knn,2048,0.8681,0.0
