Model,n_bits,ROC AUC,error
xgb,32,0.863,0.0
svc,32,0.8858,0.0
rf,32,0.8369,0.005100000000000049
lr,32,0.8747,0.0
knn,32,0.8808,0.0
xgb,64,0.8524,0.0
svc,64,0.8893,0.0
rf,64,0.8273,0.02130000000000004
lr,64,0.8723,0.002799999999999969
knn,64,0.8812,0.0
xgb,256,0.872,0.0
svc,256,0.9025,0.0
rf,256,0.8453,0.007400000000000018
lr,256,0.88815,0.00044999999999995044
knn,256,0.8768,0.0
xgb,512,0.8349,0.0
svc,512,0.9025,0.0
rf,512,0.84155,0.017249999999999988
lr,512,0.8922,0.0
knn,512,0.8761,0.0
xgb,1024,0.881,0.0
svc,1024,0.8876,0.0
rf,1024,0.8588,0.00029999999999996696
lr,1024,0.9021,0.00019999999999997797
knn,1024,0.8726,0.0
xgb,2048,0.8673,0.0
svc,2048,0.9051,0.0
rf,2048,0.8418,0.011499999999999955
lr,2048,0.90515,4.999999999999449e-05
knn,2048,0.8837,0.0
