Model,n_bits,ROC AUC,error
xgb,32,0.8354,0.0
svc,32,0.8429,0.0
rf,32,0.83985,0.011149999999999993
lr,32,0.8409,9.999999999998899e-05
knn,32,0.8738,0.0
xgb,64,0.8758,0.0
svc,64,0.8541,0.0
rf,64,0.849,0.009800000000000031
lr,64,0.847,0.0
knn,64,0.871,0.0
xgb,256,0.8623,0.0
svc,256,0.84505,4.999999999999449e-05
rf,256,0.85605,0.009850000000000025
lr,256,0.87475,0.0012499999999999178
knn,256,0.8358,0.0
xgb,512,0.886,0.0
svc,512,0.8921,0.0
rf,512,0.86575,0.00035000000000001696
lr,512,0.8838,9.999999999998899e-05
knn,512,0.8476,0.0
xgb,1024,0.8888,0.0
svc,1024,0.8869,0.0
rf,1024,0.85025,0.014949999999999963
lr,1024,0.8856,0.0005999999999999894
knn,1024,0.8755,0.0
xgb,2048,0.8371,0.0
svc,2048,0.9018,0.0
rf,2048,0.8798,0.0011999999999999234
lr,2048,0.8952,0.0
knn,2048,0.8729,0.0
