Model,n_bits,ROC AUC,error
rf,32,0.6442,0.0
lr,32,0.5453,0.0
knn,32,0.5241,0.0
svc,32,0.5372,0.0
xgb,32,0.6341,0.0
rf,64,0.6379,0.0
lr,64,0.5722,0.0
knn,64,0.4897,0.0
svc,64,0.5891,0.0
xgb,64,0.5413,0.0
rf,256,0.6867,0.0
lr,256,0.7198,0.0
knn,256,0.4903,0.0
svc,256,0.7342,0.0
xgb,256,0.818,0.0
rf,512,0.7017,0.0
lr,512,0.8136,0.0
knn,512,0.4847,0.0
svc,512,0.8261,0.0
xgb,512,0.8236,0.0
rf,1024,0.7542,0.0
lr,1024,0.723,0.0
svc,1024,0.7674,0.0
xgb,1024,0.8437,0.0
svc,2048,0.8243,0.0
xgb,2048,0.8649,0.0
