Model,n_bits,balanced,error
rf,32,0.5,0.0
lr,32,0.49595,0.0
knn,32,0.49185,0.0
svc,32,0.5,0.0
xgb,32,0.48375,0.0
rf,64,0.5,0.0
lr,64,0.5,0.0
knn,64,0.51405,0.0
svc,64,0.5,0.0
xgb,64,0.49185,0.0
rf,256,0.5,0.0
lr,256,0.53845,0.0
knn,256,0.4634,0.0
svc,256,0.53845,0.0
xgb,256,0.48375,0.0
rf,512,0.5,0.0
lr,512,0.53845,0.0
knn,512,0.50185,0.0
svc,512,0.5,0.0
xgb,512,0.5222,0.0
rf,1024,0.5,0.0
lr,1024,0.5,0.0
svc,1024,0.5,0.0
xgb,1024,0.52625,0.0
svc,2048,0.49595,0.0
xgb,2048,0.5647,0.0
