Model,n_bits,ROC AUC,error
rf,32,0.7967,0.0
lr,32,0.8255,0.0
knn,32,0.5553,0.0
svc,32,0.7636,0.0
xgb,32,0.8218,0.0
rf,64,0.8354,0.0
lr,64,0.8318,0.0
knn,64,0.556,0.0
svc,64,0.7548,0.0
xgb,64,0.9018,0.0
rf,256,0.8386,0.0
lr,256,0.823,0.0
knn,256,0.5503,0.0
svc,256,0.778,0.0
xgb,256,0.9012,0.0
rf,512,0.8247,0.0
lr,512,0.8599,0.0
knn,512,0.5916,0.0
svc,512,0.8243,0.0
xgb,512,0.9237,0.0
rf,1024,0.8405,0.0
lr,1024,0.733,0.0
svc,1024,0.8199,0.0
xgb,1024,0.9074,0.0
xgb,2048,0.9287,0.0
svc,2048,0.813,0.0
