Model,n_bits,balanced,error
rf,32,0.5,0.0
lr,32,0.56875,0.0
knn,32,0.57475,0.0
svc,32,0.53845,0.0
xgb,32,0.56875,0.0
rf,64,0.53845,0.0
lr,64,0.56875,0.0
knn,64,0.5788,0.0
svc,64,0.53845,0.0
xgb,64,0.5647,0.0
rf,256,0.53845,0.0
lr,256,0.5303,0.0
knn,256,0.48375,0.0
svc,256,0.53845,0.0
xgb,256,0.5303,0.0
rf,512,0.53845,0.0
lr,512,0.5303,0.0
knn,512,0.53625,0.0
svc,512,0.53845,0.0
xgb,512,0.5303,0.0
rf,1024,0.53845,0.0
lr,1024,0.5,0.0
svc,1024,0.5344,0.0
xgb,1024,0.64165,0.0
xgb,2048,0.6457,0.0
svc,2048,0.5,0.0
