Model,n_bits,ROC AUC,error
rf,32,0.743,0.0
lr,32,0.7567,0.0
knn,32,0.6542,0.0
svc,32,0.7999,0.0
xgb,32,0.8393,0.0
rf,64,0.7992,0.0
lr,64,0.7536,0.0
knn,64,0.6488,0.0
svc,64,0.7936,0.0
xgb,64,0.7473,0.0
rf,256,0.7511,0.0
lr,256,0.7705,0.0
knn,256,0.5976,0.0
svc,256,0.7805,0.0
xgb,256,0.8499,0.0
rf,512,0.6385,0.0
lr,512,0.7104,0.0
knn,512,0.6689,0.0
svc,512,0.8305,0.0
xgb,512,0.8487,0.0
rf,1024,0.7042,0.0
lr,1024,0.7048,0.0
svc,1024,0.7286,0.0
xgb,1024,0.843,0.0
xgb,2048,0.8424,0.0
svc,2048,0.7411,0.0
