Model,n_bits,ROC AUC,error
rf,32,0.7831,0.0
lr,32,0.785,0.0
knn,32,0.669,0.0
svc,32,0.809,0.0
xgb,32,0.8493,0.0
rf,64,0.8064,0.0
lr,64,0.7207,0.0
knn,64,0.6236,0.0
svc,64,0.7301,0.0
xgb,64,0.7478,0.0
rf,256,0.7774,0.0
lr,256,0.7390000000000001,0.0
knn,256,0.5605,0.0
svc,256,0.7144,0.0
xgb,256,0.8373,0.0
rf,512,0.7736,0.0
lr,512,0.8493,0.0
knn,512,0.6255,0.0
svc,512,0.8235,0.0
xgb,512,0.7276,0.0
rf,1024,0.7787,0.0
lr,1024,0.6866,0.0
svc,1024,0.7654,0.0
xgb,1024,0.7673,0.0
svc,2048,0.8241,0.0
xgb,2048,0.872,0.0
