Model,n_bits,balanced,error
rf,32,0.5,0.0
lr,32,0.52205,0.0
knn,32,0.4713,0.0
svc,32,0.52615,0.0
xgb,32,0.5646,0.0
rf,64,0.5,0.0
lr,64,0.52205,0.0
knn,64,0.4713,0.0
svc,64,0.51795,0.0
xgb,64,0.5646,0.0
rf,256,0.5,0.0
lr,256,0.5,0.0
knn,256,0.50565,0.0
svc,256,0.5,0.0
xgb,256,0.51795,0.0
rf,512,0.5,0.0
lr,512,0.5646,0.0
knn,512,0.50565,0.0
svc,512,0.5,0.0
xgb,512,0.4877,0.0
rf,1024,0.5,0.0
lr,1024,0.5,0.0
svc,1024,0.5,0.0
xgb,1024,0.5687,0.0
svc,2048,0.4959,0.0
xgb,2048,0.5605,0.0
