Model,n_bits,ROC AUC,error
xgb,32,0.9566,0.0
svc,32,0.9002,0.0
rf,32,0.80695,0.047850000000000004
lr,32,0.7801,0.0
knn,32,0.5397,9.999999999998899e-05
xgb,64,0.8986,0.04109999999999997
svc,64,0.8971,0.0
rf,64,0.80925,0.017349999999999977
lr,64,0.7823,0.0
knn,64,0.5396,0.0
xgb,256,0.9466,0.014100000000000001
svc,256,0.8806,0.0
rf,256,0.73265,0.08915000000000001
lr,256,0.783,0.0
knn,256,0.5228,0.0121
xgb,512,0.89525,0.013149999999999995
svc,512,0.8822,9.999999999998899e-05
rf,512,0.7866,0.0011999999999999789
lr,512,0.7907,0.0
knn,512,0.5622,0.030799999999999994
xgb,1024,0.9312,0.0010999999999999899
svc,1024,0.899,0.00019999999999997797
rf,1024,0.77045,0.01084999999999997
lr,1024,0.798,0.0
knn,1024,0.61855,0.02755000000000002
xgb,2048,0.89255,0.040149999999999963
svc,2048,0.903,9.999999999998899e-05
rf,2048,0.7706,0.016300000000000037
lr,2048,0.7695,0.02479999999999999
knn,2048,0.58585,0.012550000000000006
