Model,n_bits,ROC AUC,error
xgb,32,0.74285,0.0020499999999999963
svc,32,0.8221,0.0
rf,32,0.7529,0.0116
lr,32,0.8327,0.0
knn,32,0.7146,0.0
xgb,64,0.63,0.0
svc,64,0.8283,0.0
rf,64,0.74785,0.005049999999999999
lr,64,0.80245,0.0013499999999999623
knn,64,0.6786,0.0131
xgb,256,0.757,0.041200000000000014
svc,256,0.8296,0.0
rf,256,0.71335,0.04504999999999998
lr,256,0.80245,0.010950000000000015
knn,256,0.6839,0.0
xgb,512,0.75125,0.023650000000000004
svc,512,0.8506,0.0
rf,512,0.74655,0.012450000000000017
lr,512,0.82955,0.011349999999999971
knn,512,0.6179,0.0
xgb,1024,0.7852,0.05669999999999997
svc,1024,0.8544,0.0
rf,1024,0.7285,0.009899999999999964
lr,1024,0.8504,0.0005999999999999894
knn,1024,0.64305,0.018850000000000033
xgb,2048,0.7847,0.005300000000000027
svc,2048,0.86525,0.000250000000000028
rf,2048,0.7141,0.028400000000000036
lr,2048,0.8329,0.013000000000000012
knn,2048,0.648,0.0
