Model,n_bits,ROC AUC,error
xgb,32,0.65895,0.015050000000000008
svc,32,0.55125,0.0006499999999999839
rf,32,0.70375,0.00605
lr,32,0.6772,0.0009000000000000119
knn,32,0.6183,0.009699999999999986
xgb,64,0.6067,0.026600000000000013
svc,64,0.59125,0.0008499999999999619
rf,64,0.72075,0.005449999999999955
lr,64,0.6806,0.02100000000000002
knn,64,0.5882,0.013899999999999968
xgb,256,0.75425,0.02034999999999998
svc,256,0.7629,0.005400000000000016
rf,256,0.7669,0.01679999999999998
lr,256,0.717,0.0
knn,256,0.54465,4.999999999999449e-05
xgb,512,0.7802,0.03700000000000003
svc,512,0.7351,0.0
rf,512,0.73585,0.023050000000000015
lr,512,0.7674,0.0
knn,512,0.5474,0.0
xgb,1024,0.75805,0.005950000000000011
svc,1024,0.7418,0.02460000000000001
rf,1024,0.7034,0.030000000000000027
lr,1024,0.792,0.0
knn,1024,0.55965,0.013450000000000017
xgb,2048,0.7838,0.008699999999999986
svc,2048,0.734,0.0025000000000000022
rf,2048,0.7687,0.0020000000000000018
lr,2048,0.7433,0.0005000000000000004
knn,2048,0.5675,0.0
