Model,n_bits,ROC AUC,error
xgb,32,0.8878,0.06359999999999999
svc,32,0.88475,0.003149999999999986
rf,32,0.71275,0.06584999999999996
lr,32,0.858,0.0
knn,32,0.60765,0.012349999999999972
xgb,64,0.96735,0.00034999999999996145
svc,64,0.8854,0.0
rf,64,0.76595,0.008649999999999991
lr,64,0.87315,0.014649999999999996
knn,64,0.60775,0.012449999999999961
xgb,256,0.96845,0.00045000000000000595
svc,256,0.8695,0.0
rf,256,0.7841,0.0011999999999999789
lr,256,0.8564,0.0
knn,256,0.6188,0.0
xgb,512,0.9667,0.0007000000000000339
svc,512,0.8801,0.0
rf,512,0.78875,0.009450000000000014
lr,512,0.862,9.999999999998899e-05
knn,512,0.6175,0.0
xgb,1024,0.965,0.0016999999999999793
svc,1024,0.8968,0.0
rf,1024,0.7583,0.006299999999999972
lr,1024,0.8661,0.0
knn,1024,0.6208,0.0
xgb,2048,0.9668,0.0010999999999999899
svc,2048,0.89865,0.000250000000000028
rf,2048,0.73165,0.012649999999999939
lr,2048,0.8651,0.0
knn,2048,0.6503,0.0
