Model,n_bits,ROC AUC,error
xgb,32,0.80545,0.024450000000000027
svc,32,0.77575,5.0000000000050004e-05
rf,32,0.7624,0.0040000000000000036
lr,32,0.7043,0.003400000000000014
knn,32,0.67955,0.07294999999999996
xgb,64,0.6286,0.0
svc,64,0.7217,0.0
rf,64,0.77765,0.006849999999999967
lr,64,0.7082,0.0
knn,64,0.62405,0.00385000000000002
xgb,256,0.75265,0.014050000000000007
svc,256,0.76735,4.999999999999449e-05
rf,256,0.77435,0.0045499999999999985
lr,256,0.7259,9.999999999998899e-05
knn,256,0.6247,0.032799999999999996
xgb,512,0.7503,0.046099999999999974
svc,512,0.7634,0.0
rf,512,0.75155,0.01535000000000003
lr,512,0.7367,0.0
knn,512,0.61655,0.01715
xgb,1024,0.7636,0.0
svc,1024,0.78535,0.0013499999999999623
rf,1024,0.76185,0.00824999999999998
lr,1024,0.762,0.0
knn,1024,0.5291,0.0047000000000000375
xgb,2048,0.7881,0.0
svc,2048,0.7629,0.00040000000000001146
rf,2048,0.76575,0.008350000000000024
lr,2048,0.742,0.0
knn,2048,0.5432,0.013800000000000034
