Model,n_bits,ROC AUC,error
xgb,32,0.8888,0.010099999999999998
svc,32,0.9061,0.0
rf,32,0.85165,0.02065
lr,32,0.8065,0.021399999999999975
knn,32,0.6367,0.0
xgb,64,0.89785,0.0022500000000000298
svc,64,0.8978,0.0
rf,64,0.8497,0.0
lr,64,0.7836,0.0
knn,64,0.64615,0.00034999999999996145
xgb,256,0.9057,0.0011000000000000454
svc,256,0.8896,0.0
rf,256,0.8591,0.003400000000000014
lr,256,0.7806,0.0
knn,256,0.64405,0.0024500000000000077
xgb,512,0.9016,0.009000000000000008
svc,512,0.8738,0.0
rf,512,0.85875,0.010550000000000004
lr,512,0.7859,0.0
knn,512,0.6518,0.0
xgb,1024,0.91695,0.010149999999999992
svc,1024,0.8655,0.0
rf,1024,0.85615,0.013149999999999995
lr,1024,0.7814,0.0
knn,1024,0.648,0.0
xgb,2048,0.8591,0.040200000000000014
svc,2048,0.8655,0.0
rf,2048,0.8103,0.0010999999999999899
lr,2048,0.8069,0.023300000000000043
knn,2048,0.5971,0.05349999999999999
