Model,n_bits,ROC AUC,error
xgb,32,0.8163,0.0049000000000000155
svc,32,0.8415,0.0
rf,32,0.75355,0.011250000000000038
lr,32,0.77685,0.03304999999999997
knn,32,0.6548,0.0
xgb,64,0.7825,0.040200000000000014
svc,64,0.84,0.0
rf,64,0.75245,0.010149999999999992
lr,64,0.77685,0.03304999999999997
knn,64,0.6548,0.0
xgb,256,0.7797,0.006599999999999995
svc,256,0.8227,0.0
rf,256,0.7487,0.006400000000000017
lr,256,0.8118,0.003400000000000014
knn,256,0.6506,0.0
xgb,512,0.7675,0.018400000000000027
svc,512,0.8204,0.0
rf,512,0.72955,0.0007499999999999729
lr,512,0.8054,0.0
knn,512,0.6536,0.0
xgb,1024,0.7761,0.008299999999999974
svc,1024,0.7866,0.0
rf,1024,0.7453,0.006799999999999973
lr,1024,0.80355,0.011649999999999994
knn,1024,0.6536,0.0
xgb,2048,0.7575,0.008099999999999996
svc,2048,0.7795,0.00040000000000001146
rf,2048,0.7483,0.019500000000000017
lr,2048,0.81405,0.007849999999999968
knn,2048,0.6416,0.0
