Model,n_bits,ROC AUC,error
xgb,32,0.73015,0.04194999999999999
svc,32,0.8864,0.0
rf,32,0.7883,0.007199999999999984
lr,32,0.8015,0.0
knn,32,0.6955,0.0
xgb,64,0.91815,0.011349999999999971
svc,64,0.8803,0.0
rf,64,0.7712,0.010599999999999998
lr,64,0.8023,0.0
knn,64,0.6955,0.0
xgb,256,0.88675,0.04735
svc,256,0.8856,0.0
rf,256,0.78635,0.0045499999999999985
lr,256,0.85035,0.006450000000000011
knn,256,0.6909,0.0
xgb,512,0.90905,0.020450000000000024
svc,512,0.87385,0.00034999999999996145
rf,512,0.7447,0.0015000000000000013
lr,512,0.8295,0.025000000000000022
knn,512,0.6962,0.0
xgb,1024,0.94845,0.0045499999999999985
svc,1024,0.8621,0.0
rf,1024,0.7996,0.007199999999999984
lr,1024,0.822,0.018199999999999994
knn,1024,0.6932,0.0023000000000000242
xgb,2048,0.8748,0.040700000000000014
svc,2048,0.8659,0.0
rf,2048,0.7985,0.05149999999999999
lr,2048,0.8061,0.0
knn,2048,0.6864,0.0
