Model,n_bits,ROC AUC,error
xgb,32,0.81345,0.019549999999999956
svc,32,0.8129,0.0
rf,32,0.79655,0.0026499999999999857
lr,32,0.7227,0.0038000000000000256
knn,32,0.6008,0.0
xgb,64,0.861,0.00040000000000001146
svc,64,0.7962,0.0
rf,64,0.79545,0.00605
lr,64,0.71555,0.00495000000000001
knn,64,0.6083,0.0
xgb,256,0.83125,0.025949999999999973
svc,256,0.7795,0.0
rf,256,0.80345,0.002650000000000041
lr,256,0.7269,0.0049000000000000155
knn,256,0.7489,0.0
xgb,512,0.8356,0.0038000000000000256
svc,512,0.81285,0.0007499999999999729
rf,512,0.7705,0.024999999999999967
lr,512,0.7758,0.010599999999999998
knn,512,0.6311,0.019699999999999995
xgb,1024,0.80815,0.023650000000000004
svc,1024,0.7496,0.0018999999999999573
rf,1024,0.7447,0.007599999999999996
lr,1024,0.7572,0.005700000000000038
knn,1024,0.69925,0.08405000000000001
xgb,2048,0.7839,0.016100000000000003
svc,2048,0.7008,0.0
rf,2048,0.73675,0.007950000000000013
lr,2048,0.7621,0.0014999999999999458
knn,2048,0.6136,0.0
