Model,n_bits,ROC AUC,error
xgb,32,0.82465,0.002850000000000019
svc,32,0.77725,0.013650000000000051
rf,32,0.8016,0.0049000000000000155
lr,32,0.8498,0.02429999999999999
knn,32,0.52795,0.027349999999999985
xgb,64,0.89815,0.003650000000000042
svc,64,0.77535,0.020550000000000013
rf,64,0.77935,0.05604999999999999
lr,64,0.84175,0.009950000000000014
knn,64,0.5463,0.009700000000000042
xgb,256,0.8371,0.06409999999999999
svc,256,0.7664,0.017400000000000027
rf,256,0.81975,0.018850000000000033
lr,256,0.8315,0.008500000000000008
knn,256,0.5779,0.027600000000000013
xgb,512,0.85575,0.06795000000000001
svc,512,0.8107,0.013600000000000001
rf,512,0.81495,0.009749999999999981
lr,512,0.8589,0.0010000000000000009
knn,512,0.5647,0.026900000000000035
xgb,1024,0.8622,0.04519999999999996
svc,1024,0.8113,0.008599999999999997
rf,1024,0.7841,0.056400000000000006
lr,1024,0.8029,0.06990000000000002
knn,1024,0.6008,0.0
xgb,2048,0.8896,0.03909999999999997
svc,2048,0.80385,0.009149999999999991
rf,2048,0.8189,0.0
lr,2048,0.8071,0.0
knn,2048,0.5658,0.0
