Model,n_bits,ROC AUC,error
xgb,32,0.86505,0.025749999999999995
svc,32,0.7669,0.03300000000000003
rf,32,0.789,0.045999999999999985
lr,32,0.74655,0.010149999999999992
knn,32,0.62285,0.03134999999999999
xgb,64,0.8144,0.06709999999999999
svc,64,0.7622,0.031399999999999983
rf,64,0.8047,0.005500000000000005
lr,64,0.7422,0.011400000000000021
knn,64,0.64545,0.0033500000000000196
xgb,256,0.78415,0.06574999999999998
svc,256,0.7485,0.03199999999999997
rf,256,0.78155,0.030450000000000033
lr,256,0.7497,0.020799999999999985
knn,256,0.622,0.024399999999999977
xgb,512,0.86695,0.01824999999999999
svc,512,0.8073,0.0232
rf,512,0.7265,0.08800000000000002
lr,512,0.7392,0.028799999999999992
knn,512,0.5885,0.08040000000000003
xgb,1024,0.8638,0.02080000000000004
svc,1024,0.72005,0.008550000000000002
rf,1024,0.7724,0.06819999999999998
lr,1024,0.7392,0.034399999999999986
knn,1024,0.6148,0.0
xgb,2048,0.86105,0.01865
svc,2048,0.71765,0.02344999999999997
rf,2048,0.7041,0.0
lr,2048,0.7692,0.0
knn,2048,0.5806,0.0
