Model,n_bits,ROC AUC,error
xgb,32,0.63405,4.999999999999449e-05
svc,32,0.5921,0.054900000000000004
rf,32,0.6236,0.020600000000000007
lr,32,0.5819,0.03660000000000002
knn,32,0.48785,0.036250000000000004
xgb,64,0.5343,0.007000000000000006
svc,64,0.62645,0.037349999999999994
rf,64,0.6412,0.0032999999999999696
lr,64,0.5882,0.01599999999999996
knn,64,0.48075,0.008950000000000014
xgb,256,0.78865,0.029349999999999987
svc,256,0.72875,0.005449999999999955
rf,256,0.6946,0.007900000000000018
lr,256,0.7017,0.018100000000000005
knn,256,0.50165,0.011349999999999999
xgb,512,0.78525,0.038349999999999995
svc,512,0.76295,0.06314999999999998
rf,512,0.73855,0.036849999999999994
lr,512,0.7514,0.06219999999999998
knn,512,0.5035,0.018799999999999983
xgb,1024,0.79435,0.049350000000000005
svc,1024,0.69915,0.06824999999999998
rf,1024,0.6952,0.059
lr,1024,0.67725,0.04575000000000001
knn,1024,0.495,0.0
xgb,2048,0.8028,0.06209999999999999
svc,2048,0.691,0.13330000000000003
rf,2048,0.7723,0.0
lr,2048,0.5831,0.0
knn,2048,0.4718,0.0
