Model,n_bits,ROC AUC,error
xgb,32,0.9268,0.0
svc,32,0.7654,0.0
rf,32,0.8373,0.0
lr,32,0.8108,0.0
knn,32,0.6107,0.0
xgb,64,0.8834,0.0
svc,64,0.7699,0.0
rf,64,0.8008,0.0
lr,64,0.8121,0.0
knn,64,0.6107,0.0
xgb,256,0.8878,0.0
svc,256,0.7718,0.0
rf,256,0.8663,0.0
lr,256,0.8039,0.0
knn,256,0.6107,0.0
xgb,512,0.8783,0.0
svc,512,0.7364,0.0
rf,512,0.8707,0.0
lr,512,0.8108,0.0
knn,512,0.6781,0.0
xgb,1024,0.8815,0.0
svc,1024,0.7137,0.0
rf,1024,0.8335,0.0
lr,1024,0.8033,0.0
knn,1024,0.633,0.0
xgb,2048,0.901,0.0
svc,2048,0.7055,0.0
rf,2048,0.8077,0.0
lr,2048,0.8083,0.0
knn,2048,0.5955,0.0
