Model,n_bits,ROC AUC,error
rf,32,0.8354,0.0
lr,32,0.8064,0.0
knn,32,0.6756,0.0
rf,64,0.8146,0.0
lr,64,0.8058,0.0
knn,64,0.675,0.0
rf,256,0.7995,0.0
lr,256,0.8108,0.0
knn,256,0.6721,0.0
rf,512,0.826,0.0
lr,512,0.8335,0.0
knn,512,0.6718,0.0
rf,1024,0.7421,0.0
lr,1024,0.7509,0.0
svc,2048,0.8354,0.0
svc,1024,0.8222,0.0
svc,512,0.8108,0.0
svc,256,0.7743,0.0
svc,64,0.7806,0.0
svc,32,0.7812,0.0
xgb,2048,0.9338,0.0
xgb,1024,0.9363,0.0
xgb,512,0.9269,0.0
xgb,256,0.918,0.0
xgb,64,0.912,0.0
xgb,32,0.918,0.0
