Model,n_bits,ROC AUC,error
xgb,32,0.87735,0.028049999999999964
svc,32,0.7642,0.044800000000000006
rf,32,0.8124,0.029299999999999993
lr,32,0.79635,0.011349999999999971
knn,32,0.57725,0.09175000000000003
xgb,64,0.81465,0.06684999999999997
svc,64,0.7109,0.019199999999999995
rf,64,0.81715,0.010749999999999982
lr,64,0.7188,0.0019000000000000128
knn,64,0.5454,0.07820000000000002
xgb,256,0.83985,0.0025499999999999967
svc,256,0.73235,0.017949999999999966
rf,256,0.7935,0.016100000000000003
lr,256,0.75945,0.020449999999999968
knn,256,0.5331,0.02739999999999998
xgb,512,0.7856,0.057999999999999996
svc,512,0.797,0.026500000000000024
rf,512,0.7878,0.014200000000000046
lr,512,0.808,0.0413
knn,512,0.5566,0.06889999999999996
xgb,1024,0.7878,0.020500000000000018
svc,1024,0.73545,0.029949999999999977
rf,1024,0.79885,0.020150000000000057
lr,1024,0.7197,0.03310000000000002
knn,1024,0.5249,0.0
xgb,2048,0.86285,0.009149999999999991
svc,2048,0.7437,0.08040000000000003
rf,2048,0.7926,0.0
lr,2048,0.7301,0.0
knn,2048,0.512,0.0
