Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7440000000000001,0.6487
xgb,['rdkit'],32,0.7857,0.6625
xgb,"['rdkit', 'maccs']",32,0.7739,0.6583
xgb,"['rdkit', 'mordred']",32,0.7857,0.6625
xgb,"['rdkit', 'morgan']",32,0.7502,0.6425
xgb,['morgan'],32,0.5949,0.6254
xgb,"['morgan', 'maccs']",32,0.5305,0.5871
xgb,"['morgan','mordred']",32,0.792,0.6558
xgb,['mordred'],32,0.7834,0.6502
xgb,"['mordred', 'maccs']",32,0.7802,0.6588
xgb,['maccs'],32,0.5007,0.5227
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.6408,0.4992
svc,['rdkit'],32,0.5766,0.5609
svc,"['rdkit', 'maccs']",32,0.4624,0.5448
svc,"['rdkit', 'mordred']",32,0.6542,0.5319
svc,"['rdkit', 'morgan']",32,0.6914,0.5051
svc,['morgan'],32,0.6708,0.4974
svc,"['morgan', 'maccs']",32,0.4495,0.43799999999999994
svc,"['morgan','mordred']",32,0.6632,0.4823
svc,['mordred'],32,0.6826,0.4708
svc,"['mordred', 'maccs']",32,0.6529,0.4583
svc,['maccs'],32,0.3848,0.5153
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7698,0.6929
rf,['rdkit'],32,0.6990000000000001,0.6535
rf,"['rdkit', 'maccs']",32,0.7211,0.7190000000000001
rf,"['rdkit', 'mordred']",32,0.7884,0.6585
rf,"['rdkit', 'morgan']",32,0.757,0.6475
rf,['morgan'],32,0.5967,0.5677
rf,"['morgan', 'maccs']",32,0.5636,0.6006
rf,"['morgan','mordred']",32,0.6337,0.5685
rf,['mordred'],32,0.7762,0.6477
rf,"['mordred', 'maccs']",32,0.7908,0.6629999999999999
rf,['maccs'],32,0.4526,0.5829
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7322,0.517
lr,['rdkit'],32,0.5956,0.593
lr,"['rdkit', 'maccs']",32,0.4832,0.5316
lr,"['rdkit', 'mordred']",32,0.7574,0.5362
lr,"['rdkit', 'morgan']",32,0.6970000000000001,0.5813
lr,['morgan'],32,0.7242,0.5156
lr,"['morgan', 'maccs']",32,0.475,0.4673
lr,"['morgan','mordred']",32,0.7684,0.513
lr,['mordred'],32,0.7713,0.5313
lr,"['mordred', 'maccs']",32,0.7425,0.5107
lr,['maccs'],32,0.4197,0.4944
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.6467,0.5327
knn,['rdkit'],32,0.447,0.6764
knn,"['rdkit', 'maccs']",32,0.6191,0.5111
knn,"['rdkit', 'mordred']",32,0.5825,0.5428
knn,"['rdkit', 'morgan']",32,0.4448,0.6488
knn,['morgan'],32,0.436,0.5166
knn,"['morgan', 'maccs']",32,0.6684,0.413
knn,"['morgan','mordred']",32,0.6042,0.5461
knn,['mordred'],32,0.5820000000000001,0.5423
knn,"['mordred', 'maccs']",32,0.4961,0.5154
knn,['maccs'],32,0.6483,0.4042
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.7856,0.6502
xgb,"['rdkit', 'morgan']",64,0.7045,0.4977
