Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.74400±0.00000,0.64870±0.00000
xgb,['rdkit'],32,0.78570±0.00000,0.66250±0.00000
xgb,"['rdkit', 'maccs']",32,0.77390±0.00000,0.65830±0.00000
xgb,"['rdkit', 'mordred']",32,0.78570±0.00000,0.66250±0.00000
xgb,"['rdkit', 'morgan']",32,0.75020±0.00000,0.64250±0.00000
xgb,['morgan'],32,0.59490±0.00000,0.62540±0.00000
xgb,"['morgan', 'maccs']",32,0.53050±0.00000,0.58710±0.00000
xgb,"['morgan','mordred']",32,0.79200±0.00000,0.65580±0.00000
xgb,['mordred'],32,0.78340±0.00000,0.65020±0.00000
xgb,"['mordred', 'maccs']",32,0.78020±0.00000,0.65880±0.00000
xgb,['maccs'],32,0.50070±0.00000,0.52270±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.64070±0.00010,0.49925±0.00005
svc,['rdkit'],32,0.57655±0.00005,0.56090±0.00000
svc,"['rdkit', 'maccs']",32,0.46235±0.00005,0.54480±0.00000
svc,"['rdkit', 'mordred']",32,0.65420±0.00000,0.53190±0.00000
svc,"['rdkit', 'morgan']",32,0.69150±0.00010,0.50510±0.00000
svc,['morgan'],32,0.67075±0.00005,0.49745±0.00005
svc,"['morgan', 'maccs']",32,0.44950±0.00000,0.43805±0.00005
svc,"['morgan','mordred']",32,0.66325±0.00005,0.48240±0.00010
svc,['mordred'],32,0.68265±0.00005,0.47085±0.00005
svc,"['mordred', 'maccs']",32,0.65300±0.00010,0.45820±0.00010
svc,['maccs'],32,0.38480±0.00000,0.51530±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.78375±0.01395,0.68990±0.00300
rf,['rdkit'],32,0.72845±0.02945,0.63945±0.01405
rf,"['rdkit', 'maccs']",32,0.71855±0.00255,0.64905±0.06995
rf,"['rdkit', 'mordred']",32,0.78935±0.00095,0.65205±0.00645
rf,"['rdkit', 'morgan']",32,0.73425±0.02275,0.62215±0.02535
rf,['morgan'],32,0.63560±0.03890,0.57570±0.00800
rf,"['morgan', 'maccs']",32,0.57785±0.01425,0.61340±0.01280
rf,"['morgan','mordred']",32,0.68180±0.04810,0.60315±0.03465
rf,['mordred'],32,0.77855±0.00235,0.65330±0.00560
rf,"['mordred', 'maccs']",32,0.78570±0.00510,0.66400±0.00100
rf,['maccs'],32,0.50515±0.05255,0.55980±0.02310
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.73150±0.00070,0.51780±0.00080
lr,['rdkit'],32,0.59560±0.00000,0.59295±0.00005
lr,"['rdkit', 'maccs']",32,0.48315±0.00005,0.53130±0.00030
lr,"['rdkit', 'mordred']",32,0.75740±0.00000,0.53620±0.00000
lr,"['rdkit', 'morgan']",32,0.69700±0.00000,0.58130±0.00000
lr,['morgan'],32,0.72420±0.00000,0.51560±0.00000
lr,"['morgan', 'maccs']",32,0.48035±0.00535,0.47510±0.00780
lr,"['morgan','mordred']",32,0.77165±0.00325,0.51945±0.00645
lr,['mordred'],32,0.77135±0.00005,0.53190±0.00060
lr,"['mordred', 'maccs']",32,0.73925±0.00325,0.50445±0.00625
lr,['maccs'],32,0.41170±0.00800,0.45150±0.04290
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.64670±0.00000,0.53270±0.00000
knn,['rdkit'],32,0.44700±0.00000,0.67640±0.00000
knn,"['rdkit', 'maccs']",32,0.61910±0.00000,0.51110±0.00000
knn,"['rdkit', 'mordred']",32,0.58250±0.00000,0.54280±0.00000
knn,"['rdkit', 'morgan']",32,0.44480±0.00000,0.64880±0.00000
knn,['morgan'],32,0.43600±0.00000,0.51660±0.00000
knn,"['morgan', 'maccs']",32,0.66840±0.00000,0.41300±0.00000
knn,"['morgan','mordred']",32,0.60420±0.00000,0.54610±0.00000
knn,['mordred'],32,0.58200±0.00000,0.54230±0.00000
knn,"['mordred', 'maccs']",32,0.49610±0.00000,0.51540±0.00000
knn,['maccs'],32,0.64830±0.00000,0.40420±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.78560±0.00000,0.65020±0.00000
xgb,"['rdkit', 'morgan']",64,0.70450±0.00000,0.49770±0.00000
xgb,['morgan'],64,0.75050±0.00000,0.45550±0.00000
xgb,"['morgan', 'maccs']",64,0.57630±0.00000,0.49640±0.00000
xgb,"['morgan','mordred']",64,0.77950±0.00000,0.67160±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.64585±0.00005,0.49745±0.00035
svc,"['rdkit', 'morgan']",64,0.64590±0.00000,0.46815±0.00005
svc,['morgan'],64,0.74100±0.00000,0.38185±0.00015
svc,"['morgan', 'maccs']",64,0.51030±0.00000,0.44325±0.00005
svc,"['morgan','mordred']",64,0.67130±0.00000,0.45770±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.78285±0.00345,0.66525±0.00495
rf,"['rdkit', 'morgan']",64,0.79750±0.00090,0.57305±0.00065
rf,['morgan'],64,0.78530±0.00470,0.49150±0.03780
rf,"['morgan', 'maccs']",64,0.64835±0.00765,0.48200±0.01810
rf,"['morgan','mordred']",64,0.75790±0.03750,0.68240±0.04330
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.73520±0.00290,0.51610±0.00170
lr,"['rdkit', 'morgan']",64,0.66850±0.00000,0.47680±0.00000
lr,['morgan'],64,0.71210±0.00000,0.36300±0.00000
lr,"['morgan', 'maccs']",64,0.54005±0.00005,0.48570±0.00000
lr,"['morgan','mordred']",64,0.78630±0.00000,0.49535±0.00005
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.65280±0.00000,0.51280±0.00000
knn,"['rdkit', 'morgan']",64,0.52290±0.00000,0.48420±0.00000
knn,['morgan'],64,0.55130±0.00000,0.47020±0.00000
knn,"['morgan', 'maccs']",64,0.58770±0.00000,0.41200±0.00000
knn,"['morgan','mordred']",64,0.60170±0.00000,0.52300±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.78050±0.00000,0.66030±0.00000
xgb,"['rdkit', 'morgan']",256,0.71890±0.00000,0.53260±0.00000
xgb,['morgan'],256,0.66720±0.00000,0.55000±0.00000
xgb,"['morgan', 'maccs']",256,0.55940±0.00000,0.62340±0.00000
xgb,"['morgan','mordred']",256,0.78190±0.00000,0.64840±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.60720±0.00000,0.46230±0.00000
svc,"['rdkit', 'morgan']",256,0.55750±0.00000,0.42020±0.00000
svc,['morgan'],256,0.60500±0.00000,0.41940±0.00000
svc,"['morgan', 'maccs']",256,0.53740±0.00000,0.50845±0.00005
svc,"['morgan','mordred']",256,0.64680±0.00000,0.41940±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.78060±0.00760,0.64965±0.01875
rf,"['rdkit', 'morgan']",256,0.73895±0.06105,0.60545±0.01695
rf,['morgan'],256,0.66125±0.01425,0.62500±0.01510
rf,"['morgan', 'maccs']",256,0.63120±0.07750,0.52885±0.03665
rf,"['morgan','mordred']",256,0.78820±0.00300,0.64375±0.02805
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.71705±0.00165,0.50240±0.01020
lr,"['rdkit', 'morgan']",256,0.59210±0.00000,0.48270±0.00000
lr,['morgan'],256,0.59440±0.00000,0.41780±0.00000
lr,"['morgan', 'maccs']",256,0.53430±0.00000,0.45940±0.00010
lr,"['morgan','mordred']",256,0.75620±0.00110,0.49265±0.00085
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.53850±0.00000,0.53540±0.00000
knn,"['rdkit', 'morgan']",256,0.56860±0.00000,0.57510±0.00000
knn,['morgan'],256,0.37040±0.00000,0.46390±0.00000
knn,"['morgan', 'maccs']",256,0.63120±0.00000,0.42360±0.00000
knn,"['morgan','mordred']",256,0.58050±0.00000,0.51860±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.78510±0.00000,0.64920±0.00000
xgb,"['rdkit', 'morgan']",512,0.68110±0.00000,0.61880±0.00000
xgb,['morgan'],512,0.51690±0.00000,0.52900±0.00000
xgb,"['morgan', 'maccs']",512,0.61350±0.00000,0.63020±0.00000
xgb,"['morgan','mordred']",512,0.70210±0.00000,0.59510±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.53690±0.00010,0.52850±0.00000
svc,"['rdkit', 'morgan']",512,0.46410±0.00000,0.54240±0.00000
svc,['morgan'],512,0.52230±0.00000,0.54830±0.00000
svc,"['morgan', 'maccs']",512,0.47835±0.00005,0.49495±0.00005
svc,"['morgan','mordred']",512,0.61810±0.00000,0.51355±0.00005
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.75155±0.02855,0.63555±0.03285
rf,"['rdkit', 'morgan']",512,0.79960±0.00160,0.62100±0.03320
rf,['morgan'],512,0.69185±0.04145,0.58540±0.01440
rf,"['morgan', 'maccs']",512,0.63525±0.05505,0.60115±0.00335
rf,"['morgan','mordred']",512,0.79550±0.01000,0.66335±0.00855
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.70940±0.00600,0.55645±0.01695
lr,"['rdkit', 'morgan']",512,0.53260±0.00000,0.58250±0.00000
lr,['morgan'],512,0.51870±0.00000,0.53100±0.00000
lr,"['morgan', 'maccs']",512,0.48000±0.00210,0.52660±0.00350
lr,"['morgan','mordred']",512,0.71875±0.00465,0.55380±0.00850
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.49810±0.00000,0.51380±0.00000
knn,"['rdkit', 'morgan']",512,0.53260±0.00000,0.44510±0.00000
knn,['morgan'],512,0.49310±0.00000,0.42780±0.00000
knn,"['morgan', 'maccs']",512,0.61820±0.00000,0.44340±0.00000
knn,"['morgan','mordred']",512,0.58580±0.00000,0.52050±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.62870±0.00000,0.58770±0.00000
xgb,"['rdkit', 'morgan']",1024,0.71980±0.00000,0.57640±0.00000
xgb,['morgan'],1024,0.60720±0.00000,0.42270±0.00000
xgb,"['morgan', 'maccs']",1024,0.55720±0.00000,0.47060±0.00000
xgb,"['morgan','mordred']",1024,0.77480±0.00000,0.66220±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.53560±0.00000,0.48140±0.00000
svc,"['rdkit', 'morgan']",1024,0.48175±0.00005,0.51565±0.00005
svc,['morgan'],1024,0.44140±0.00010,0.47850±0.00000
svc,"['morgan', 'maccs']",1024,0.46350±0.00000,0.43090±0.00000
svc,"['morgan','mordred']",1024,0.62145±0.00005,0.48795±0.00005
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.77945±0.00635,0.59260±0.00920
rf,"['rdkit', 'morgan']",1024,0.60065±0.06855,0.59295±0.03785
rf,['morgan'],1024,0.68055±0.00865,0.46285±0.03855
rf,"['morgan', 'maccs']",1024,0.61295±0.00885,0.61040±0.07650
rf,"['morgan','mordred']",1024,0.70225±0.05925,0.67370±0.00690
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.72065±0.01965,0.52800±0.00120
lr,"['rdkit', 'morgan']",1024,0.54590±0.00000,0.52020±0.00000
lr,['morgan'],1024,0.48905±0.00005,0.48490±0.00000
lr,"['morgan', 'maccs']",1024,0.48820±0.00000,0.47410±0.00000
lr,"['morgan','mordred']",1024,0.71350±0.00000,0.50840±0.00000
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.51860±0.00000,0.52340±0.00000
knn,"['rdkit', 'morgan']",1024,0.52070±0.00000,0.38920±0.00000
knn,['morgan'],1024,0.38440±0.00000,0.46150±0.00000
knn,"['morgan', 'maccs']",1024,0.57490±0.00000,0.40860±0.00000
knn,"['morgan','mordred']",1024,0.56040±0.00000,0.53950±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.79370±0.00000,0.65630±0.00000
xgb,"['rdkit', 'morgan']",2048,0.61430±0.00000,0.55260±0.00000
xgb,['morgan'],2048,0.57420±0.00000,0.38030±0.00000
xgb,"['morgan', 'maccs']",2048,0.64460±0.00000,0.50210±0.00000
xgb,"['morgan','mordred']",2048,0.74690±0.00000,0.62910±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.69460±0.00000,0.51600±0.00000
