Descriptors,n_bits,ROC AUC,ROC AUC val
"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.70933±0.07855,0.57767±0.09685
['rdkit'],32,0.62666±0.16935,0.62644±0.05775
"['rdkit', 'maccs']",32,0.61141±0.15580,0.57891±0.10395
"['rdkit', 'mordred']",32,0.71383±0.10390,0.58509±0.06530
"['rdkit', 'morgan']",32,0.66355±0.15610,0.59997±0.07185
['morgan'],32,0.61229±0.14410,0.54615±0.06400
"['morgan', 'maccs']",32,0.54132±0.10945,0.50533±0.10660
"['morgan','mordred']",32,0.70258±0.09390,0.56138±0.08675
['mordred'],32,0.71959±0.10070,0.56971±0.09405
"['mordred', 'maccs']",32,0.69085±0.14735,0.56017±0.10345
['maccs'],32,0.49013±0.13175,0.49070±0.08935
"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.72046±0.07025,0.56836±0.08655
"['rdkit', 'morgan']",64,0.66786±0.13775,0.49998±0.05280
['morgan'],64,0.70804±0.11935,0.43241±0.08315
"['morgan', 'maccs']",64,0.57254±0.07285,0.46387±0.04405
"['morgan','mordred']",64,0.71934±0.09685,0.56601±0.13400
"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.68477±0.12485,0.56201±0.10305
"['rdkit', 'morgan']",256,0.63521±0.12125,0.52321±0.10110
['morgan'],256,0.57965±0.15255,0.49522±0.11115
"['morgan', 'maccs']",256,0.57870±0.08720,0.50874±0.09990
"['morgan','mordred']",256,0.71072±0.10535,0.54456±0.12620
"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.65621±0.14350,0.57670±0.07730
"['rdkit', 'morgan']",512,0.60200±0.16855,0.56196±0.10455
['morgan'],512,0.54857±0.12010,0.52430±0.08600
"['morgan', 'maccs']",512,0.56506±0.10620,0.53926±0.09340
"['morgan','mordred']",512,0.68405±0.10985,0.56926±0.07920
"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.63660±0.13360,0.54262±0.06020
"['rdkit', 'morgan']",1024,0.57376±0.11905,0.51888±0.12080
['morgan'],1024,0.52052±0.15240,0.46209±0.03935
"['morgan', 'maccs']",1024,0.53935±0.07915,0.47892±0.13915
"['morgan','mordred']",1024,0.67448±0.10720,0.57435±0.09635
"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.70135±0.13685,0.56780±0.07015
"['rdkit', 'morgan']",2048,0.58094±0.16005,0.57227±0.08015
['morgan'],2048,0.54844±0.09445,0.49770±0.08775
"['morgan', 'maccs']",2048,0.59209±0.09255,0.51116±0.10140
"['morgan','mordred']",2048,0.68498±0.10020,0.60046±0.06350
