Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.9272,0.9038
xgb,['rdkit'],32,0.9235,0.9129999999999999
xgb,"['rdkit', 'maccs']",32,0.9258,0.9103
xgb,"['rdkit', 'mordred']",32,0.9235,0.9129999999999999
xgb,"['rdkit', 'morgan']",32,0.9266,0.9107
xgb,['morgan'],32,0.9073,0.9007
xgb,"['morgan', 'maccs']",32,0.9342,0.9307
xgb,"['morgan','mordred']",32,0.9238,0.9094
xgb,['mordred'],32,0.9265,0.9124
xgb,"['mordred', 'maccs']",32,0.9237,0.9115
xgb,['maccs'],32,0.924,0.8964
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8954,0.9056
svc,['rdkit'],32,0.8766,0.9105
svc,"['rdkit', 'maccs']",32,0.8882,0.9177
svc,"['rdkit', 'mordred']",32,0.8933,0.9194
svc,"['rdkit', 'morgan']",32,0.8808,0.9112
svc,['morgan'],32,0.8228,0.8691
svc,"['morgan', 'maccs']",32,0.8879,0.9189
svc,"['morgan','mordred']",32,0.8943,0.9145
svc,['mordred'],32,0.8933,0.9108
svc,"['mordred', 'maccs']",32,0.8835,0.9082
svc,['maccs'],32,0.8471,0.8816
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.9035,0.8963
rf,['rdkit'],32,0.9026,0.8928
rf,"['rdkit', 'maccs']",32,0.9068,0.8951
rf,"['rdkit', 'mordred']",32,0.9115,0.8908
rf,"['rdkit', 'morgan']",32,0.9175,0.9027
rf,['morgan'],32,0.9058,0.8919
rf,"['morgan', 'maccs']",32,0.9173,0.9007
rf,"['morgan','mordred']",32,0.87,0.8512
rf,['mordred'],32,0.9044,0.8947
rf,"['mordred', 'maccs']",32,0.9079999999999999,0.8947
rf,['maccs'],32,0.8886,0.8664
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.9128,0.9101
lr,['rdkit'],32,0.8826,0.9026
lr,"['rdkit', 'maccs']",32,0.8898,0.9133
lr,"['rdkit', 'mordred']",32,0.9131,0.9079
lr,"['rdkit', 'morgan']",32,0.8786,0.9107
lr,['morgan'],32,0.8217,0.8575
lr,"['morgan', 'maccs']",32,0.8833,0.9077
