Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.92720±0.00000,0.90380±0.00000
xgb,['rdkit'],32,0.92005±0.00345,0.91220±0.00080
xgb,"['rdkit', 'maccs']",32,0.92015±0.00565,0.90760±0.00270
xgb,"['rdkit', 'mordred']",32,0.92005±0.00345,0.91220±0.00080
xgb,"['rdkit', 'morgan']",32,0.92335±0.00325,0.90780±0.00290
xgb,['morgan'],32,0.91345±0.00615,0.90280±0.00210
xgb,"['morgan', 'maccs']",32,0.93375±0.00045,0.92480±0.00590
xgb,"['morgan','mordred']",32,0.91900±0.00480,0.90715±0.00225
xgb,['mordred'],32,0.92545±0.00105,0.90495±0.00745
xgb,"['mordred', 'maccs']",32,0.92370±0.00000,0.91150±0.00000
xgb,['maccs'],32,0.92400±0.00000,0.89640±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.89525±0.00015,0.90560±0.00000
svc,['rdkit'],32,0.87645±0.00015,0.91045±0.00005
svc,"['rdkit', 'maccs']",32,0.89035±0.00215,0.91800±0.00030
svc,"['rdkit', 'mordred']",32,0.89325±0.00005,0.91945±0.00005
svc,"['rdkit', 'morgan']",32,0.87750±0.00330,0.91110±0.00010
svc,['morgan'],32,0.82280±0.00000,0.86910±0.00000
svc,"['morgan', 'maccs']",32,0.88795±0.00005,0.91890±0.00000
svc,"['morgan','mordred']",32,0.89425±0.00005,0.91450±0.00000
svc,['mordred'],32,0.89330±0.00000,0.91080±0.00000
svc,"['mordred', 'maccs']",32,0.88330±0.00020,0.90820±0.00000
svc,['maccs'],32,0.84710±0.00000,0.88160±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.90210±0.00140,0.89140±0.00490
rf,['rdkit'],32,0.90505±0.00245,0.89315±0.00035
rf,"['rdkit', 'maccs']",32,0.91110±0.00430,0.89575±0.00065
rf,"['rdkit', 'mordred']",32,0.91420±0.00270,0.89145±0.00065
rf,"['rdkit', 'morgan']",32,0.91845±0.00095,0.89895±0.00375
rf,['morgan'],32,0.89830±0.00750,0.89400±0.00210
rf,"['morgan', 'maccs']",32,0.91580±0.00150,0.90770±0.00700
rf,"['morgan','mordred']",32,0.87070±0.00070,0.85110±0.00010
rf,['mordred'],32,0.88795±0.01645,0.87480±0.01990
rf,"['mordred', 'maccs']",32,0.90795±0.00005,0.89340±0.00130
rf,['maccs'],32,0.89615±0.00755,0.87405±0.00765
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.91280±0.00000,0.91010±0.00000
lr,['rdkit'],32,0.87655±0.00605,0.90110±0.00150
lr,"['rdkit', 'maccs']",32,0.88980±0.00000,0.91330±0.00000
