Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.86300±0.00000,0.86050±0.00000
xgb,['rdkit'],32,0.84880±0.00000,0.88520±0.00000
xgb,"['rdkit', 'maccs']",32,0.83550±0.00000,0.84050±0.00000
xgb,"['rdkit', 'mordred']",32,0.84880±0.00000,0.88520±0.00000
xgb,"['rdkit', 'morgan']",32,0.83540±0.00000,0.83650±0.00000
xgb,['morgan'],32,0.85760±0.00000,0.88570±0.00000
xgb,"['morgan', 'maccs']",32,0.89070±0.00000,0.88350±0.00000
xgb,"['morgan','mordred']",32,0.83570±0.00000,0.83930±0.00000
xgb,['mordred'],32,0.87280±0.00000,0.89030±0.00000
xgb,"['mordred', 'maccs']",32,0.83370±0.00000,0.83850±0.00000
xgb,['maccs'],32,0.89220±0.00000,0.87310±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.88580±0.00000,0.87970±0.00000
svc,['rdkit'],32,0.82830±0.00000,0.85620±0.00020
svc,"['rdkit', 'maccs']",32,0.86950±0.00000,0.88300±0.00000
svc,"['rdkit', 'mordred']",32,0.87280±0.00000,0.87160±0.00000
svc,"['rdkit', 'morgan']",32,0.84290±0.00000,0.86305±0.00005
svc,['morgan'],32,0.82050±0.00000,0.76840±0.00000
svc,"['morgan', 'maccs']",32,0.84220±0.00000,0.85590±0.00000
svc,"['morgan','mordred']",32,0.87500±0.00010,0.86815±0.00005
svc,['mordred'],32,0.85720±0.00000,0.87110±0.00000
svc,"['mordred', 'maccs']",32,0.87560±0.00000,0.87380±0.00000
svc,['maccs'],32,0.84315±0.00005,0.84910±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.83690±0.00510,0.82120±0.00430
rf,['rdkit'],32,0.84160±0.00750,0.84350±0.01080
rf,"['rdkit', 'maccs']",32,0.83445±0.02935,0.82185±0.04495
rf,"['rdkit', 'mordred']",32,0.83950±0.01570,0.83540±0.00830
rf,"['rdkit', 'morgan']",32,0.83985±0.01115,0.83920±0.00760
rf,['morgan'],32,0.85000±0.00140,0.87385±0.00935
rf,"['morgan', 'maccs']",32,0.86880±0.00320,0.87915±0.00065
rf,"['morgan','mordred']",32,0.85185±0.00275,0.85010±0.00390
rf,['mordred'],32,0.85360±0.00160,0.84595±0.00025
rf,"['mordred', 'maccs']",32,0.85360±0.00120,0.84725±0.00015
rf,['maccs'],32,0.89600±0.00370,0.87000±0.01170
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.87470±0.00000,0.86570±0.00000
lr,['rdkit'],32,0.82740±0.00000,0.85620±0.00000
lr,"['rdkit', 'maccs']",32,0.86545±0.00025,0.86845±0.00005
lr,"['rdkit', 'mordred']",32,0.85500±0.00020,0.85500±0.00000
lr,"['rdkit', 'morgan']",32,0.84090±0.00010,0.85920±0.00000
lr,['morgan'],32,0.83190±0.00000,0.77230±0.00000
lr,"['morgan', 'maccs']",32,0.85360±0.00000,0.85645±0.00055
lr,"['morgan','mordred']",32,0.85980±0.00000,0.86030±0.00000
lr,['mordred'],32,0.86115±0.00005,0.85570±0.00020
lr,"['mordred', 'maccs']",32,0.87485±0.00045,0.86415±0.00015
lr,['maccs'],32,0.83360±0.00050,0.83805±0.00045
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.88080±0.00000,0.84800±0.00000
knn,['rdkit'],32,0.85900±0.00000,0.88490±0.00000
knn,"['rdkit', 'maccs']",32,0.88140±0.00000,0.88450±0.00000
knn,"['rdkit', 'mordred']",32,0.85010±0.00000,0.86260±0.00000
knn,"['rdkit', 'morgan']",32,0.87380±0.00000,0.87900±0.00000
knn,['morgan'],32,0.85700±0.00000,0.87340±0.00000
knn,"['morgan', 'maccs']",32,0.88130±0.00000,0.82940±0.00000
knn,"['morgan','mordred']",32,0.87320±0.00000,0.88440±0.00000
knn,['mordred'],32,0.87200±0.00000,0.88320±0.00000
knn,"['mordred', 'maccs']",32,0.88700±0.00000,0.86950±0.00000
knn,['maccs'],32,0.88010±0.00000,0.86220±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.85240±0.00000,0.85900±0.00000
xgb,"['rdkit', 'morgan']",64,0.87580±0.00000,0.89300±0.00000
xgb,['morgan'],64,0.88840±0.00000,0.87950±0.00000
xgb,"['morgan', 'maccs']",64,0.89290±0.00000,0.89990±0.00000
xgb,"['morgan','mordred']",64,0.83250±0.00000,0.83760±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.88930±0.00000,0.87660±0.00000
svc,"['rdkit', 'morgan']",64,0.85410±0.00000,0.86280±0.00000
svc,['morgan'],64,0.82535±0.00005,0.80950±0.00000
svc,"['morgan', 'maccs']",64,0.87040±0.00000,0.87510±0.00000
svc,"['morgan','mordred']",64,0.88080±0.00000,0.86260±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.82730±0.02130,0.82590±0.00450
rf,"['rdkit', 'morgan']",64,0.84900±0.00980,0.84895±0.00775
rf,['morgan'],64,0.85450±0.00050,0.87645±0.00355
rf,"['morgan', 'maccs']",64,0.87345±0.00165,0.88975±0.00895
rf,"['morgan','mordred']",64,0.85890±0.00510,0.85305±0.00515
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.87230±0.00280,0.86725±0.00045
lr,"['rdkit', 'morgan']",64,0.84700±0.00000,0.85965±0.00005
lr,['morgan'],64,0.82660±0.00000,0.81500±0.00000
lr,"['morgan', 'maccs']",64,0.85950±0.00000,0.85720±0.00000
lr,"['morgan','mordred']",64,0.80570±0.00010,0.81970±0.00000
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.88120±0.00000,0.85110±0.00000
knn,"['rdkit', 'morgan']",64,0.87100±0.00000,0.88840±0.00000
knn,['morgan'],64,0.86090±0.00000,0.85890±0.00000
knn,"['morgan', 'maccs']",64,0.88740±0.00000,0.85790±0.00000
knn,"['morgan','mordred']",64,0.87850±0.00000,0.88770±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.87200±0.00000,0.89230±0.00000
xgb,"['rdkit', 'morgan']",256,0.86230±0.00000,0.86680±0.00000
xgb,['morgan'],256,0.86430±0.00000,0.86300±0.00000
xgb,"['morgan', 'maccs']",256,0.90710±0.00000,0.89960±0.00000
