Descriptors,n_bits,ROC AUC,ROC AUC val
"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.86824±0.02700,0.85502±0.03140
['rdkit'],32,0.84102±0.01580,0.86520±0.02625
"['rdkit', 'maccs']",32,0.85726±0.03815,0.85966±0.05380
"['rdkit', 'mordred']",32,0.85324±0.02450,0.86196±0.02905
"['rdkit', 'morgan']",32,0.84657±0.02255,0.85539±0.02370
['morgan'],32,0.84340±0.01855,0.83473±0.05865
"['morgan', 'maccs']",32,0.86732±0.02425,0.86088±0.02705
"['morgan','mordred']",32,0.85911±0.01970,0.86045±0.02255
['mordred'],32,0.86335±0.01040,0.86925±0.02230
"['mordred', 'maccs']",32,0.86495±0.02665,0.85864±0.01765
['maccs'],32,0.86901±0.03330,0.85849±0.02205
"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.86450±0.04165,0.85597±0.02760
"['rdkit', 'morgan']",64,0.85938±0.01830,0.87056±0.02590
['morgan'],64,0.85115±0.03155,0.84787±0.03525
"['morgan', 'maccs']",64,0.87673±0.01670,0.87597±0.02135
"['morgan','mordred']",64,0.85128±0.03760,0.85213±0.03400
"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.87695±0.03230,0.88035±0.02495
"['rdkit', 'morgan']",256,0.85479±0.02010,0.86291±0.01235
['morgan'],256,0.86527±0.00900,0.87057±0.02005
"['morgan', 'maccs']",256,0.88660±0.01915,0.87869±0.04245
"['morgan','mordred']",256,0.86632±0.01910,0.87248±0.03740
"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.86945±0.03910,0.86572±0.02600
"['rdkit', 'morgan']",512,0.87505±0.02225,0.87111±0.02670
['morgan'],512,0.87147±0.04620,0.86320±0.05460
"['morgan', 'maccs']",512,0.89443±0.01610,0.89110±0.02340
"['morgan','mordred']",512,0.86375±0.02495,0.86189±0.02845
"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.88042±0.02190,0.87217±0.01830
"['rdkit', 'morgan']",1024,0.87741±0.02675,0.87714±0.03710
['morgan'],1024,0.88359±0.02445,0.89067±0.03200
"['morgan', 'maccs']",1024,0.89355±0.01970,0.88648±0.03960
"['morgan','mordred']",1024,0.86721±0.01605,0.86894±0.02805
"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.88061±0.03745,0.87487±0.05005
"['rdkit', 'morgan']",2048,0.87736±0.03235,0.89035±0.02170
['morgan'],2048,0.89215±0.01885,0.89591±0.01005
"['morgan', 'maccs']",2048,0.89652±0.02875,0.88774±0.03445
"['morgan','mordred']",2048,0.86913±0.02260,0.87544±0.02510
