Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.9514,0.8185
xgb,['rdkit'],32,0.8133,0.7422
xgb,"['rdkit', 'maccs']",32,0.9501,0.9076
xgb,"['rdkit', 'mordred']",32,0.8133,0.7422
xgb,"['rdkit', 'morgan']",32,0.8299,0.8026
xgb,['morgan'],32,0.6439,0.6125
xgb,"['morgan', 'maccs']",32,0.9566,0.8807
xgb,"['morgan','mordred']",32,0.7408,0.6854
xgb,['mordred'],32,0.7266,0.691
xgb,"['mordred', 'maccs']",32,0.9597,0.8998
xgb,['maccs'],32,0.9421,0.8485
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8816,0.7829
svc,['rdkit'],32,0.8779,0.8031
svc,"['rdkit', 'maccs']",32,0.8854,0.7855
svc,"['rdkit', 'mordred']",32,0.7596,0.7705
svc,"['rdkit', 'morgan']",32,0.7757,0.7756
svc,['morgan'],32,0.5519,0.5274
svc,"['morgan', 'maccs']",32,0.9002,0.7691
svc,"['morgan','mordred']",32,0.8221,0.7981
svc,['mordred'],32,0.8255,0.7922
svc,"['mordred', 'maccs']",32,0.8746,0.7956
svc,['maccs'],32,0.9031,0.7709999999999999
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.6469,0.6965
rf,['rdkit'],32,0.7701,0.7545
rf,"['rdkit', 'maccs']",32,0.8105,0.7735
rf,"['rdkit', 'mordred']",32,0.7183,0.6806
rf,"['rdkit', 'morgan']",32,0.7664,0.7612
rf,['morgan'],32,0.7098,0.6334
rf,"['morgan', 'maccs']",32,0.8548,0.7972
rf,"['morgan','mordred']",32,0.7413,0.6966
rf,['mordred'],32,0.7253,0.6125
rf,"['mordred', 'maccs']",32,0.6759999999999999,0.6872
rf,['maccs'],32,0.9028,0.809
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.858,0.7668
lr,['rdkit'],32,0.9104,0.7968
lr,"['rdkit', 'maccs']",32,0.8899,0.7987
lr,"['rdkit', 'mordred']",32,0.8425,0.7735
lr,"['rdkit', 'morgan']",32,0.7009,0.7103
lr,['morgan'],32,0.6763,0.6484
lr,"['morgan', 'maccs']",32,0.7801,0.7415
lr,"['morgan','mordred']",32,0.8327,0.735
lr,['mordred'],32,0.7652,0.7953
lr,"['mordred', 'maccs']",32,0.887,0.7864
lr,['maccs'],32,0.782,0.7394
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.5953,0.6217
knn,['rdkit'],32,0.6288,0.6413
knn,"['rdkit', 'maccs']",32,0.541,0.6526
knn,"['rdkit', 'mordred']",32,0.6882,0.6625
knn,"['rdkit', 'morgan']",32,0.6066,0.7003
knn,['morgan'],32,0.628,0.5805
knn,"['morgan', 'maccs']",32,0.5398,0.6546
knn,"['morgan','mordred']",32,0.7146,0.6757
knn,['mordred'],32,0.6904,0.6598
knn,"['mordred', 'maccs']",32,0.596,0.6191
knn,['maccs'],32,0.5551,0.716
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.9677,0.9129999999999999
xgb,"['rdkit', 'morgan']",64,0.6286,0.7315
xgb,['morgan'],64,0.5801,0.6546
xgb,"['morgan', 'maccs']",64,0.8575,0.7852
xgb,"['morgan','mordred']",64,0.63,0.6801
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8854,0.7811
svc,"['rdkit', 'morgan']",64,0.7217,0.7646
svc,['morgan'],64,0.5921,0.6852
svc,"['morgan', 'maccs']",64,0.8971,0.7656
svc,"['morgan','mordred']",64,0.8283,0.7942
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.7746,0.7418
rf,"['rdkit', 'morgan']",64,0.7708,0.7636
rf,['morgan'],64,0.7262,0.6334
rf,"['morgan', 'maccs']",64,0.8266,0.7881
rf,"['morgan','mordred']",64,0.7428,0.6855
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.8878,0.7882
lr,"['rdkit', 'morgan']",64,0.7082,0.7093
lr,['morgan'],64,0.7016,0.6505
lr,"['morgan', 'maccs']",64,0.7823,0.7390000000000001
lr,"['morgan','mordred']",64,0.8011,0.7816
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.5953,0.6204
knn,"['rdkit', 'morgan']",64,0.6279,0.6779999999999999
knn,['morgan'],64,0.6021,0.6526
knn,"['morgan', 'maccs']",64,0.5396,0.654
knn,"['morgan','mordred']",64,0.6917,0.6748
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.968,0.9146
xgb,"['rdkit', 'morgan']",256,0.7667,0.8009
xgb,['morgan'],256,0.7746,0.7658
xgb,"['morgan', 'maccs']",256,0.9325,0.865
xgb,"['morgan','mordred']",256,0.7158,0.6548
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8695,0.7824
svc,"['rdkit', 'morgan']",256,0.7673,0.7344
svc,['morgan'],256,0.7575,0.7346
svc,"['morgan', 'maccs']",256,0.8806,0.7927
svc,"['morgan','mordred']",256,0.8296,0.7977
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.7853,0.7476
rf,"['rdkit', 'morgan']",256,0.7789,0.7619
rf,['morgan'],256,0.7501,0.6441
rf,"['morgan', 'maccs']",256,0.8218,0.7778
rf,"['morgan','mordred']",256,0.7584,0.7231
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.8564,0.7711
lr,"['rdkit', 'morgan']",256,0.726,0.7262
lr,['morgan'],256,0.7170000000000001,0.7287
lr,"['morgan', 'maccs']",256,0.7829999999999999,0.7459
lr,"['morgan','mordred']",256,0.7915,0.7948
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.6188,0.6746
knn,"['rdkit', 'morgan']",256,0.5919,0.6322
knn,['morgan'],256,0.5446,0.58
knn,"['morgan', 'maccs']",256,0.5349,0.6353
knn,"['morgan','mordred']",256,0.6839,0.6565
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.966,0.9076
xgb,"['rdkit', 'morgan']",512,0.7042,0.6725
xgb,['morgan'],512,0.8172,0.76
xgb,"['morgan', 'maccs']",512,0.9084,0.8114
xgb,"['morgan','mordred']",512,0.7276,0.7003
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8801,0.7774
svc,"['rdkit', 'morgan']",512,0.7634,0.748
svc,['morgan'],512,0.7351,0.7343
svc,"['morgan', 'maccs']",512,0.8823,0.7863
svc,"['morgan','mordred']",512,0.8506,0.7942
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.7793,0.7381
rf,"['rdkit', 'morgan']",512,0.7669,0.7424
rf,['morgan'],512,0.7589,0.6795
rf,"['morgan', 'maccs']",512,0.7878,0.7668
rf,"['morgan','mordred']",512,0.7341,0.7072
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.8621,0.7701
lr,"['rdkit', 'morgan']",512,0.7367,0.7372
lr,['morgan'],512,0.7674,0.7581
lr,"['morgan', 'maccs']",512,0.7907,0.7463
lr,"['morgan','mordred']",512,0.8409,0.7518
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.6175,0.6923
knn,"['rdkit', 'morgan']",512,0.6337,0.5955
knn,['morgan'],512,0.5474,0.5633
knn,"['morgan', 'maccs']",512,0.593,0.6128
