Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.88780±0.06360,0.73930±0.07920
xgb,['rdkit'],32,0.75160±0.06170,0.75090±0.00870
xgb,"['rdkit', 'maccs']",32,0.95780±0.00770,0.90815±0.00055
xgb,"['rdkit', 'mordred']",32,0.78285±0.03045,0.71960±0.02260
xgb,"['rdkit', 'morgan']",32,0.80545±0.02445,0.77480±0.02780
xgb,['morgan'],32,0.65895±0.01505,0.60120±0.01130
xgb,"['morgan', 'maccs']",32,0.95660±0.00000,0.88070±0.00000
xgb,"['morgan','mordred']",32,0.74285±0.00205,0.70455±0.01915
xgb,['mordred'],32,0.72660±0.00000,0.69100±0.00000
xgb,"['mordred', 'maccs']",32,0.96140±0.00170,0.89900±0.00080
xgb,['maccs'],32,0.95420±0.01210,0.85835±0.00985
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.88475±0.00315,0.80100±0.01810
svc,['rdkit'],32,0.85285±0.02505,0.80495±0.00185
svc,"['rdkit', 'maccs']",32,0.88540±0.00000,0.78550±0.00000
svc,"['rdkit', 'mordred']",32,0.77910±0.01950,0.78580±0.01530
svc,"['rdkit', 'morgan']",32,0.77575±0.00005,0.77620±0.00060
svc,['morgan'],32,0.55125±0.00065,0.52670±0.00070
svc,"['morgan', 'maccs']",32,0.90020±0.00000,0.76900±0.00010
svc,"['morgan','mordred']",32,0.82210±0.00000,0.79805±0.00005
svc,['mordred'],32,0.82550±0.00000,0.79220±0.00000
svc,"['mordred', 'maccs']",32,0.87460±0.00000,0.79560±0.00000
svc,['maccs'],32,0.90285±0.00025,0.77100±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.71275±0.06585,0.73835±0.04185
rf,['rdkit'],32,0.76995±0.00015,0.74525±0.00925
rf,"['rdkit', 'maccs']",32,0.80810±0.00240,0.77215±0.00135
rf,"['rdkit', 'mordred']",32,0.73490±0.01660,0.70080±0.02020
rf,"['rdkit', 'morgan']",32,0.76240±0.00400,0.74875±0.01245
rf,['morgan'],32,0.70375±0.00605,0.62885±0.00455
rf,"['morgan', 'maccs']",32,0.80695±0.04785,0.77180±0.02540
rf,"['morgan','mordred']",32,0.75290±0.01160,0.70190±0.00530
rf,['mordred'],32,0.73765±0.01235,0.65510±0.04260
rf,"['mordred', 'maccs']",32,0.72360±0.04760,0.70250±0.01530
rf,['maccs'],32,0.85825±0.04455,0.80045±0.00855
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.85800±0.00000,0.76680±0.00000
lr,['rdkit'],32,0.81180±0.09860,0.74865±0.04815
lr,"['rdkit', 'maccs']",32,0.83650±0.05340,0.77155±0.02715
lr,"['rdkit', 'mordred']",32,0.83685±0.00565,0.75620±0.01730
lr,"['rdkit', 'morgan']",32,0.70430±0.00340,0.70275±0.00755
lr,['morgan'],32,0.67720±0.00090,0.64655±0.00185
lr,"['morgan', 'maccs']",32,0.78010±0.00000,0.74150±0.00000
lr,"['morgan','mordred']",32,0.83270±0.00000,0.73495±0.00005
lr,['mordred'],32,0.80425±0.03905,0.78385±0.01145
lr,"['mordred', 'maccs']",32,0.87265±0.01435,0.77970±0.00670
lr,['maccs'],32,0.78205±0.00005,0.73940±0.00000
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.60765±0.01235,0.64775±0.02605
knn,['rdkit'],32,0.61510±0.01370,0.62320±0.01810
knn,"['rdkit', 'maccs']",32,0.54100±0.00000,0.65260±0.00000
knn,"['rdkit', 'mordred']",32,0.68820±0.00000,0.66250±0.00000
knn,"['rdkit', 'morgan']",32,0.67955±0.07295,0.67755±0.02275
knn,['morgan'],32,0.61830±0.00970,0.62000±0.03950
knn,"['morgan', 'maccs']",32,0.53970±0.00010,0.65425±0.00035
knn,"['morgan','mordred']",32,0.71460±0.00000,0.67570±0.00000
knn,['mordred'],32,0.69040±0.00000,0.65980±0.00000
knn,"['mordred', 'maccs']",32,0.60880±0.01280,0.63815±0.01905
knn,['maccs'],32,0.55730±0.00220,0.71460±0.00140
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.96735±0.00035,0.91145±0.00155
xgb,"['rdkit', 'morgan']",64,0.62860±0.00000,0.73150±0.00000
xgb,['morgan'],64,0.60670±0.02660,0.66880±0.01420
