Descriptors,n_bits,ROC AUC,ROC AUC val
"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.79019±0.17805,0.73864±0.09870
['rdkit'],32,0.76026±0.15450,0.73459±0.10085
"['rdkit', 'maccs']",32,0.80576±0.21225,0.77799±0.12805
"['rdkit', 'mordred']",32,0.76438±0.07715,0.72498±0.06930
"['rdkit', 'morgan']",32,0.74549±0.11165,0.73601±0.07390
['morgan'],32,0.64189±0.07960,0.60466±0.06675
"['morgan', 'maccs']",32,0.79671±0.20850,0.76345±0.11340
"['morgan','mordred']",32,0.77303±0.05905,0.72303±0.06120
['mordred'],32,0.75688±0.07645,0.71639±0.09140
"['mordred', 'maccs']",32,0.80821±0.18355,0.76299±0.14035
['maccs'],32,0.81093±0.20560,0.77676±0.07750
"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.81992±0.18620,0.77256±0.14630
"['rdkit', 'morgan']",64,0.69204±0.08215,0.72981±0.04665
['morgan'],64,0.63750±0.07595,0.65530±0.04205
"['morgan', 'maccs']",64,0.78537±0.20005,0.75222±0.11505
"['morgan','mordred']",64,0.73744±0.09915,0.71787±0.09260
"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.81945±0.17505,0.77780±0.12155
"['rdkit', 'morgan']",256,0.72899±0.09350,0.72973±0.08435
['morgan'],256,0.70914±0.11955,0.68747±0.10965
"['morgan', 'maccs']",256,0.77313±0.22500,0.75136±0.13545
"['morgan','mordred']",256,0.75726±0.08065,0.72653±0.07145
"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.82301±0.17495,0.77768±0.11285
"['rdkit', 'morgan']",512,0.72370±0.09850,0.70572±0.11795
['morgan'],512,0.71319±0.13490,0.68219±0.11515
"['morgan', 'maccs']",512,0.78339±0.18850,0.74122±0.09930
"['morgan','mordred']",512,0.75917±0.11635,0.72132±0.06410
"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.82140±0.17295,0.77798±0.12635
"['rdkit', 'morgan']",1024,0.72038±0.13115,0.71085±0.09755
['morgan'],1024,0.71098±0.12290,0.69559±0.10750
"['morgan', 'maccs']",1024,0.80344±0.17065,0.75547±0.13410
"['morgan','mordred']",1024,0.77231±0.11510,0.73657±0.08420
"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.82250±0.15880,0.77054±0.12360
"['rdkit', 'morgan']",2048,0.72039±0.12935,0.72670±0.08490
['morgan'],2048,0.71946±0.11250,0.70406±0.09540
"['morgan', 'maccs']",2048,0.78430±0.17970,0.74567±0.10645
"['morgan','mordred']",2048,0.76899±0.10875,0.72309±0.05835
