Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.6882,0.9256
xgb,['rdkit'],32,0.8602,0.8659
xgb,"['rdkit', 'maccs']",32,0.9303,0.8907
xgb,"['rdkit', 'mordred']",32,0.7739,0.7716
xgb,"['rdkit', 'morgan']",32,0.833,0.74
xgb,['morgan'],32,0.6232,0.6144
xgb,"['morgan', 'maccs']",32,0.8989,0.8726
xgb,"['morgan','mordred']",32,0.8212,0.7738
xgb,['mordred'],32,0.8302,0.7783
xgb,"['mordred', 'maccs']",32,0.9459,0.8759
xgb,['maccs'],32,0.8573,0.8759
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8864,0.9249
svc,['rdkit'],32,0.8977,0.9185
svc,"['rdkit', 'maccs']",32,0.9212,0.8922
svc,"['rdkit', 'mordred']",32,0.8598,0.8144
svc,"['rdkit', 'morgan']",32,0.8129,0.9035
svc,['morgan'],32,0.7183,0.5712
svc,"['morgan', 'maccs']",32,0.9061,0.867
svc,"['morgan','mordred']",32,0.8415,0.9128
svc,['mordred'],32,0.8505,0.9031
svc,"['mordred', 'maccs']",32,0.867,0.9583
svc,['maccs'],32,0.9016,0.8469
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.7955,0.8197
rf,['rdkit'],32,0.8136,0.799
rf,"['rdkit', 'maccs']",32,0.8394,0.8321
rf,"['rdkit', 'mordred']",32,0.7697,0.8189
rf,"['rdkit', 'morgan']",32,0.7992,0.7885
rf,['morgan'],32,0.6724,0.6449
rf,"['morgan', 'maccs']",32,0.831,0.7083
rf,"['morgan','mordred']",32,0.7648,0.7556
rf,['mordred'],32,0.7663,0.7846
rf,"['mordred', 'maccs']",32,0.7821,0.7981
rf,['maccs'],32,0.8648,0.8051
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.8015,0.6371
lr,['rdkit'],32,0.7303,0.618
lr,"['rdkit', 'maccs']",32,0.7758,0.6277
lr,"['rdkit', 'mordred']",32,0.8053,0.7318
lr,"['rdkit', 'morgan']",32,0.7189,0.5872
lr,['morgan'],32,0.6551,0.5376
lr,"['morgan', 'maccs']",32,0.8279,0.6911
lr,"['morgan','mordred']",32,0.7438,0.6274
lr,['mordred'],32,0.7431,0.6267
lr,"['mordred', 'maccs']",32,0.8032,0.6423
lr,['maccs'],32,0.7911,0.6285
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.6955,0.7836
knn,['rdkit'],32,0.6508,0.7915
knn,"['rdkit', 'maccs']",32,0.6413,0.6942
knn,"['rdkit', 'mordred']",32,0.6477,0.7494
knn,"['rdkit', 'morgan']",32,0.6008,0.6983
knn,['morgan'],32,0.5387,0.6002
knn,"['morgan', 'maccs']",32,0.6367,0.6088
knn,"['morgan','mordred']",32,0.6548,0.7537
knn,['mordred'],32,0.654,0.7496
knn,"['mordred', 'maccs']",32,0.6912,0.7832
knn,['maccs'],32,0.633,0.6125
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.9295,0.8723
