Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.73015±0.04195,0.91525±0.01035
xgb,['rdkit'],32,0.85700±0.00320,0.80070±0.06520
xgb,"['rdkit', 'maccs']",32,0.92540±0.00490,0.91605±0.02535
xgb,"['rdkit', 'mordred']",32,0.79300±0.01910,0.85500±0.08340
xgb,"['rdkit', 'morgan']",32,0.81345±0.01955,0.77310±0.03310
xgb,['morgan'],32,0.62320±0.00000,0.61440±0.00000
xgb,"['morgan', 'maccs']",32,0.88880±0.01010,0.89475±0.02215
xgb,"['morgan','mordred']",32,0.81630±0.00490,0.85670±0.08290
xgb,['mordred'],32,0.83000±0.00020,0.78280±0.00450
xgb,"['mordred', 'maccs']",32,0.92375±0.02215,0.90255±0.02665
xgb,['maccs'],32,0.86815±0.01085,0.85840±0.01750
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.88640±0.00000,0.92525±0.00035
svc,['rdkit'],32,0.89770±0.00000,0.91850±0.00000
svc,"['rdkit', 'maccs']",32,0.92085±0.00035,0.89220±0.00000
svc,"['rdkit', 'mordred']",32,0.85980±0.00000,0.81440±0.00000
svc,"['rdkit', 'morgan']",32,0.81290±0.00000,0.90350±0.00000
svc,['morgan'],32,0.75320±0.03490,0.59765±0.02645
svc,"['morgan', 'maccs']",32,0.90610±0.00000,0.86625±0.00075
svc,"['morgan','mordred']",32,0.84150±0.00000,0.91280±0.00000
svc,['mordred'],32,0.85050±0.00000,0.90310±0.00000
svc,"['mordred', 'maccs']",32,0.86700±0.00000,0.95830±0.00000
svc,['maccs'],32,0.90120±0.00040,0.84765±0.00075
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.78830±0.00720,0.80765±0.01205
rf,['rdkit'],32,0.80300±0.01060,0.80090±0.00190
rf,"['rdkit', 'maccs']",32,0.83790±0.00150,0.83395±0.00185
rf,"['rdkit', 'mordred']",32,0.75720±0.01250,0.75245±0.06645
rf,"['rdkit', 'morgan']",32,0.79655±0.00265,0.78250±0.00600
rf,['morgan'],32,0.65965±0.01275,0.61250±0.03240
rf,"['morgan', 'maccs']",32,0.85165±0.02065,0.73360±0.02530
rf,"['morgan','mordred']",32,0.75355±0.01125,0.71645±0.03915
rf,['mordred'],32,0.76050±0.00580,0.71290±0.07170
rf,"['mordred', 'maccs']",32,0.77310±0.00900,0.73435±0.06375
rf,['maccs'],32,0.86330±0.00150,0.78090±0.02420
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.80150±0.00000,0.63710±0.00000
lr,['rdkit'],32,0.73070±0.00040,0.61835±0.00035
lr,"['rdkit', 'maccs']",32,0.79925±0.02345,0.66150±0.03380
lr,"['rdkit', 'mordred']",32,0.81250±0.00720,0.78100±0.04920
lr,"['rdkit', 'morgan']",32,0.72270±0.00380,0.59880±0.01160
lr,['morgan'],32,0.65510±0.00000,0.53760±0.00000
lr,"['morgan', 'maccs']",32,0.80650±0.02140,0.65835±0.03275
lr,"['morgan','mordred']",32,0.77685±0.03305,0.75295±0.12555
lr,['mordred'],32,0.77950±0.03640,0.74480±0.11810
lr,"['mordred', 'maccs']",32,0.80205±0.00115,0.64155±0.00075
lr,['maccs'],32,0.79110±0.00000,0.62850±0.00000
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.69550±0.00000,0.78360±0.00000
knn,['rdkit'],32,0.65080±0.00000,0.79150±0.00000
knn,"['rdkit', 'maccs']",32,0.64375±0.00245,0.67280±0.02140
knn,"['rdkit', 'mordred']",32,0.65035±0.00265,0.72180±0.02760
knn,"['rdkit', 'morgan']",32,0.60080±0.00000,0.69830±0.00000
knn,['morgan'],32,0.54565±0.00695,0.57955±0.02065
knn,"['morgan', 'maccs']",32,0.63670±0.00000,0.60880±0.00000
knn,"['morgan','mordred']",32,0.65480±0.00000,0.75370±0.00000
knn,['mordred'],32,0.65400±0.00000,0.74960±0.00000
knn,"['mordred', 'maccs']",32,0.66715±0.02405,0.71575±0.06745
knn,['maccs'],32,0.63300±0.00000,0.61250±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.91815±0.01135,0.91210±0.03980
xgb,"['rdkit', 'morgan']",64,0.86100±0.00040,0.77575±0.06685
xgb,['morgan'],64,0.69155±0.04995,0.67825±0.05385
xgb,"['morgan', 'maccs']",64,0.89785±0.00225,0.88675±0.01865
xgb,"['morgan','mordred']",64,0.78250±0.04020,0.82040±0.05960
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.88030±0.00000,0.92525±0.00035
svc,"['rdkit', 'morgan']",64,0.79620±0.00000,0.87490±0.00000
svc,['morgan'],64,0.70020±0.00000,0.69340±0.00000
svc,"['morgan', 'maccs']",64,0.89780±0.00000,0.86330±0.00000
svc,"['morgan','mordred']",64,0.84000±0.00000,0.91800±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.77120±0.01060,0.81180±0.00260
rf,"['rdkit', 'morgan']",64,0.79545±0.00605,0.79260±0.01390
rf,['morgan'],64,0.67695±0.04505,0.62105±0.04025
rf,"['morgan', 'maccs']",64,0.84970±0.00000,0.75150±0.02460
rf,"['morgan','mordred']",64,0.75245±0.01015,0.72915±0.06075
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.80230±0.00000,0.63975±0.00185
lr,"['rdkit', 'morgan']",64,0.71555±0.00495,0.60295±0.01125
lr,['morgan'],64,0.62130±0.00000,0.56740±0.00000
lr,"['morgan', 'maccs']",64,0.78360±0.00000,0.62630±0.00000
lr,"['morgan','mordred']",64,0.77685±0.03305,0.75220±0.12780
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.69550±0.00000,0.78360±0.00000
knn,"['rdkit', 'morgan']",64,0.60830±0.00000,0.69380±0.00000
knn,['morgan'],64,0.59350±0.00000,0.57040±0.00000
knn,"['morgan', 'maccs']",64,0.64615±0.00035,0.60880±0.00000
knn,"['morgan','mordred']",64,0.65480±0.00000,0.75370±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.88675±0.04735,0.87325±0.00545
xgb,"['rdkit', 'morgan']",256,0.83125±0.02595,0.74865±0.05185
xgb,['morgan'],256,0.62565±0.00505,0.65255±0.00725
xgb,"['morgan', 'maccs']",256,0.90570±0.00110,0.88840±0.02180
xgb,"['morgan','mordred']",256,0.77970±0.00660,0.70305±0.00295
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.88560±0.00000,0.93050±0.00110
svc,"['rdkit', 'morgan']",256,0.77950±0.00000,0.82790±0.00000
svc,['morgan'],256,0.68820±0.00000,0.75930±0.00040
svc,"['morgan', 'maccs']",256,0.88960±0.00000,0.85095±0.00035
svc,"['morgan','mordred']",256,0.82270±0.00000,0.92180±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.78635±0.00455,0.77160±0.02630
rf,"['rdkit', 'morgan']",256,0.80345±0.00265,0.76595±0.00075
rf,['morgan'],256,0.70830±0.05580,0.72170±0.00150
rf,"['morgan', 'maccs']",256,0.85910±0.00340,0.78355±0.00745
rf,"['morgan','mordred']",256,0.74870±0.00640,0.75710±0.05740
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.85035±0.00645,0.80580±0.04920
lr,"['rdkit', 'morgan']",256,0.72690±0.00490,0.62545±0.01275
lr,['morgan'],256,0.69685±0.00565,0.68255±0.06225
lr,"['morgan', 'maccs']",256,0.78060±0.00000,0.62930±0.00000
lr,"['morgan','mordred']",256,0.81180±0.00340,0.87555±0.00525
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.69090±0.00000,0.79260±0.00000
knn,"['rdkit', 'morgan']",256,0.74890±0.00000,0.69650±0.00000
knn,['morgan'],256,0.55860±0.00000,0.58350±0.00000
knn,"['morgan', 'maccs']",256,0.64405±0.00245,0.60880±0.00000
knn,"['morgan','mordred']",256,0.65060±0.00000,0.70720±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.90905±0.02045,0.91265±0.04075
xgb,"['rdkit', 'morgan']",512,0.83560±0.00380,0.92260±0.00110
xgb,['morgan'],512,0.75770±0.11610,0.70860±0.05850
xgb,"['morgan', 'maccs']",512,0.90160±0.00900,0.88655±0.01955
xgb,"['morgan','mordred']",512,0.76750±0.01840,0.75990±0.05010
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.87385±0.00035,0.93610±0.00000
svc,"['rdkit', 'morgan']",512,0.81285±0.00075,0.85165±0.00075
svc,['morgan'],512,0.79830±0.01540,0.83645±0.00295
svc,"['morgan', 'maccs']",512,0.87380±0.00000,0.86400±0.00000
svc,"['morgan','mordred']",512,0.82040±0.00000,0.91510±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.74470±0.00150,0.69120±0.01880
rf,"['rdkit', 'morgan']",512,0.77050±0.02500,0.73025±0.04845
rf,['morgan'],512,0.73310±0.03250,0.73420±0.00950
rf,"['morgan', 'maccs']",512,0.85875±0.01055,0.78165±0.01155
rf,"['morgan','mordred']",512,0.72955±0.00075,0.66395±0.00225
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.82950±0.02500,0.75355±0.10895
lr,"['rdkit', 'morgan']",512,0.77580±0.01060,0.78775±0.11645
lr,['morgan'],512,0.75850±0.01390,0.89005±0.00745
lr,"['morgan', 'maccs']",512,0.78590±0.00000,0.63450±0.00000
lr,"['morgan','mordred']",512,0.80540±0.00000,0.74370±0.00000
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.69620±0.00000,0.78810±0.00000
knn,"['rdkit', 'morgan']",512,0.63110±0.01970,0.66825±0.04095
knn,['morgan'],512,0.59165±0.02405,0.57710±0.03910
knn,"['morgan', 'maccs']",512,0.65180±0.00000,0.60880±0.00000
knn,"['morgan','mordred']",512,0.65360±0.00000,0.74330±0.00000
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.94845±0.00455,0.88955±0.00935
xgb,"['rdkit', 'morgan']",1024,0.80815±0.02365,0.84900±0.04170
xgb,['morgan'],1024,0.83730±0.01240,0.81930±0.06780
