Descriptors,n_bits,ROC AUC,ROC AUC val
"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.78037±0.09910,0.81377±0.14425
['rdkit'],32,0.78784±0.12345,0.78599±0.15025
"['rdkit', 'maccs']",32,0.82543±0.14450,0.79530±0.15685
"['rdkit', 'mordred']",32,0.77457±0.10605,0.78493±0.12620
"['rdkit', 'morgan']",32,0.74928±0.11610,0.75124±0.15815
['morgan'],32,0.64736±0.12470,0.58834±0.05365
"['morgan', 'maccs']",32,0.81795±0.13470,0.75235±0.15405
"['morgan','mordred']",32,0.76860±0.09335,0.79852±0.15610
['mordred'],32,0.77490±0.09825,0.77864±0.13820
"['mordred', 'maccs']",32,0.80661±0.15140,0.79050±0.15875
['maccs'],32,0.81135±0.13430,0.74559±0.13170
"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.81349±0.11700,0.81450±0.15700
"['rdkit', 'morgan']",64,0.75530±0.12655,0.74800±0.14160
['morgan'],64,0.65670±0.07400,0.62610±0.08235
"['morgan', 'maccs']",64,0.81502±0.12715,0.74733±0.14830
"['morgan','mordred']",64,0.76132±0.09260,0.79469±0.14680
"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.81999±0.12160,0.83475±0.09315
"['rdkit', 'morgan']",256,0.77800±0.06760,0.73289±0.10760
['morgan'],256,0.65552±0.10275,0.67992±0.08810
"['morgan', 'maccs']",256,0.81581±0.13260,0.75220±0.15070
"['morgan','mordred']",256,0.76270±0.08605,0.79294±0.11105
"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.81066±0.11665,0.81632±0.15440
"['rdkit', 'morgan']",512,0.76517±0.11400,0.79210±0.14820
['morgan'],512,0.72785±0.15310,0.74928±0.17975
"['morgan', 'maccs']",512,0.81437±0.12940,0.75510±0.14865
"['morgan','mordred']",512,0.75529±0.08340,0.76519±0.12670
"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.82507±0.13105,0.80894±0.14650
"['rdkit', 'morgan']",1024,0.75178±0.10830,0.73878±0.13170
['morgan'],1024,0.73822±0.09615,0.76193±0.18425
"['morgan', 'maccs']",1024,0.81360±0.13955,0.74352±0.17420
"['morgan','mordred']",1024,0.75303±0.08080,0.80741±0.13450
"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.80634±0.11455,0.79149±0.13825
"['rdkit', 'morgan']",2048,0.71943±0.09320,0.73655±0.15385
['morgan'],2048,0.73073±0.13490,0.75204±0.15145
"['morgan', 'maccs']",2048,0.78778±0.17785,0.75327±0.13990
"['morgan','mordred']",2048,0.74819±0.09015,0.79534±0.10975
