Model,Descriptors,n_bits,ROC AUC,ROC AUC val
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.92680±0.00000,0.95780±0.00000
xgb,['rdkit'],32,0.88080±0.00000,0.94230±0.00000
xgb,"['rdkit', 'maccs']",32,0.86380±0.00000,0.88590±0.00000
xgb,"['rdkit', 'mordred']",32,0.89970±0.00000,0.87180±0.00000
xgb,"['rdkit', 'morgan']",32,0.87735±0.02805,0.83805±0.06065
xgb,['morgan'],32,0.63405±0.00005,0.76675±0.01105
xgb,"['morgan', 'maccs']",32,0.82465±0.00285,0.86215±0.07475
xgb,"['morgan','mordred']",32,0.86505±0.02575,0.84235±0.01245
xgb,['mordred'],32,0.86410±0.00000,0.89900±0.00000
xgb,"['mordred', 'maccs']",32,0.90010±0.00000,0.89520±0.00000
xgb,['maccs'],32,0.88520±0.00000,0.94820±0.00000
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.76540±0.00000,0.86280±0.00000
svc,['rdkit'],32,0.73960±0.00000,0.89620±0.00000
svc,"['rdkit', 'maccs']",32,0.80520±0.00000,0.91280±0.00000
svc,"['rdkit', 'mordred']",32,0.78180±0.00000,0.85510±0.00000
svc,"['rdkit', 'morgan']",32,0.76420±0.04480,0.80300±0.02780
svc,['morgan'],32,0.59210±0.05490,0.68365±0.05115
svc,"['morgan', 'maccs']",32,0.77725±0.01365,0.87505±0.02775
svc,"['morgan','mordred']",32,0.76690±0.03300,0.83020±0.03850
svc,['mordred'],32,0.73700±0.00000,0.88010±0.00000
svc,"['mordred', 'maccs']",32,0.83500±0.00000,0.87370±0.00000
svc,['maccs'],32,0.80210±0.00000,0.89020±0.00000
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.83730±0.00000,0.79230±0.00000
rf,['rdkit'],32,0.80800±0.00660,0.82040±0.08730
rf,"['rdkit', 'maccs']",32,0.85025±0.01105,0.78675±0.03375
rf,"['rdkit', 'mordred']",32,0.81320±0.00270,0.75265±0.08705
rf,"['rdkit', 'morgan']",32,0.81240±0.02930,0.78995±0.08565
rf,['morgan'],32,0.62360±0.02060,0.69510±0.08770
rf,"['morgan', 'maccs']",32,0.80160±0.00490,0.85625±0.07435
rf,"['morgan','mordred']",32,0.78900±0.04600,0.72720±0.14270
rf,['mordred'],32,0.76465±0.04985,0.65385±0.08355
rf,"['mordred', 'maccs']",32,0.86100±0.00000,0.86990±0.00000
rf,['maccs'],32,0.80400±0.03600,0.81565±0.05555
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.81080±0.00000,0.91410±0.00000
lr,['rdkit'],32,0.80735±0.01545,0.83485±0.05745
lr,"['rdkit', 'maccs']",32,0.86630±0.00440,0.88805±0.02095
lr,"['rdkit', 'mordred']",32,0.73710±0.00630,0.81730±0.06090
lr,"['rdkit', 'morgan']",32,0.79635±0.01135,0.84155±0.06745
lr,['morgan'],32,0.58190±0.03660,0.75515±0.00385
lr,"['morgan', 'maccs']",32,0.84980±0.02430,0.89945±0.01725
lr,"['morgan','mordred']",32,0.74655±0.01015,0.81860±0.06400
lr,['mordred'],32,0.75030±0.00770,0.80755±0.06495
lr,"['mordred', 'maccs']",32,0.82010±0.00000,0.92170±0.00000
lr,['maccs'],32,0.84510±0.02960,0.90000±0.01670
knn,"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.61070±0.00000,0.72500±0.00000
knn,['rdkit'],32,0.56020±0.00030,0.60225±0.10285
knn,"['rdkit', 'maccs']",32,0.52525±0.02585,0.70540±0.09520
knn,"['rdkit', 'mordred']",32,0.67465±0.02965,0.66310±0.13820
knn,"['rdkit', 'morgan']",32,0.57725±0.09175,0.56545±0.13905
knn,['morgan'],32,0.48785±0.03625,0.62425±0.00115
knn,"['morgan', 'maccs']",32,0.52795±0.02735,0.73705±0.06095
knn,"['morgan','mordred']",32,0.62285±0.03135,0.73960±0.13600
knn,['mordred'],32,0.64165±0.00595,0.66670±0.13890
knn,"['mordred', 'maccs']",32,0.61600±0.00000,0.72540±0.00000
knn,['maccs'],32,0.54225±0.00875,0.77375±0.03055
xgb,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.88340±0.00000,0.88590±0.00000
xgb,"['rdkit', 'morgan']",64,0.81465±0.06685,0.86440±0.09590
xgb,['morgan'],64,0.53430±0.00700,0.60690±0.13800
xgb,"['morgan', 'maccs']",64,0.89815±0.00365,0.88135±0.05805
xgb,"['morgan','mordred']",64,0.81440±0.06710,0.83335±0.03405
svc,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.76990±0.00000,0.86540±0.00000
svc,"['rdkit', 'morgan']",64,0.71090±0.01920,0.81540±0.07560
svc,['morgan'],64,0.62645±0.03735,0.62440±0.05620
svc,"['morgan', 'maccs']",64,0.77535±0.02055,0.85670±0.02460
svc,"['morgan','mordred']",64,0.76220±0.03140,0.79840±0.04380
rf,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.80080±0.00000,0.85260±0.00000
rf,"['rdkit', 'morgan']",64,0.81715±0.01075,0.80455±0.12235
rf,['morgan'],64,0.64120±0.00330,0.61625±0.10475
rf,"['morgan', 'maccs']",64,0.77935±0.05605,0.75710±0.06610
rf,"['morgan','mordred']",64,0.80470±0.00550,0.68140±0.05980
lr,"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.81210±0.00000,0.91150±0.00000
lr,"['rdkit', 'morgan']",64,0.71880±0.00190,0.82380±0.09290
lr,['morgan'],64,0.58820±0.01600,0.68910±0.09370
lr,"['morgan', 'maccs']",64,0.84175±0.00995,0.89510±0.01400
lr,"['morgan','mordred']",64,0.74220±0.01140,0.81385±0.06245
