Descriptors,n_bits,ROC AUC,ROC AUC val
"['rdkit', 'morgan', 'mordred', 'maccs']",32,0.79020±0.15805,0.85040±0.11640
['rdkit'],32,0.74644±0.16045,0.79419±0.22145
"['rdkit', 'maccs']",32,0.76907±0.18565,0.81989±0.15130
"['rdkit', 'mordred']",32,0.76643±0.12735,0.77412±0.17665
"['rdkit', 'morgan']",32,0.76551±0.20995,0.76760±0.24130
['morgan'],32,0.58390±0.09770,0.70498±0.08770
"['morgan', 'maccs']",32,0.75625±0.18675,0.84599±0.13040
"['morgan','mordred']",32,0.75807±0.14965,0.79159±0.14905
['mordred'],32,0.73929±0.11420,0.75441±0.18560
"['mordred', 'maccs']",32,0.80644±0.14205,0.85718±0.09815
['maccs'],32,0.75875±0.17585,0.85215±0.10250
"['rdkit', 'morgan', 'mordred', 'maccs']",64,0.77538±0.13635,0.84808±0.09325
"['rdkit', 'morgan']",64,0.72138±0.20715,0.76877±0.25340
['morgan'],64,0.57418±0.09600,0.61464±0.15695
"['morgan', 'maccs']",64,0.76818±0.18260,0.82546±0.13165
"['morgan','mordred']",64,0.75379±0.11970,0.76619±0.13635
"['rdkit', 'morgan', 'mordred', 'maccs']",256,0.78810±0.13855,0.85616±0.10065
"['rdkit', 'morgan']",256,0.73165±0.16835,0.75574±0.21660
['morgan'],256,0.68307±0.16385,0.72301±0.16700
"['morgan', 'maccs']",256,0.76652±0.17545,0.81408±0.14210
"['morgan','mordred']",256,0.73718±0.12615,0.74889±0.14535
"['rdkit', 'morgan', 'mordred', 'maccs']",512,0.79486±0.10010,0.87858±0.10610
"['rdkit', 'morgan']",512,0.74700±0.18080,0.76425±0.24890
['morgan'],512,0.70833±0.17070,0.73806±0.24190
"['morgan', 'maccs']",512,0.78100±0.19295,0.82049±0.18215
"['morgan','mordred']",512,0.74569±0.18855,0.74846±0.20020
"['rdkit', 'morgan', 'mordred', 'maccs']",1024,0.77300±0.12425,0.83616±0.15195
"['rdkit', 'morgan']",1024,0.73428±0.14705,0.74109±0.17405
['morgan'],1024,0.69188±0.17435,0.76498±0.19920
"['morgan', 'maccs']",1024,0.79131±0.15330,0.83017±0.16790
"['morgan','mordred']",1024,0.75619±0.13490,0.76687±0.16650
"['rdkit', 'morgan', 'mordred', 'maccs']",2048,0.76360±0.15275,0.83294±0.16220
"['rdkit', 'morgan']",2048,0.74969±0.18000,0.78189±0.17080
['morgan'],2048,0.68783±0.19655,0.78427±0.18435
"['morgan', 'maccs']",2048,0.79696±0.18145,0.85907±0.16410
"['morgan','mordred']",2048,0.74447±0.14955,0.74776±0.19315
"['rdkit', 'morgan','mordred', 'maccs']",32,0.80332±0.12120,0.75558±0.12875
['maccs'],64,0.71400±0.13225,0.80353±0.07005
['mordred'],64,0.71390±0.05990,0.63903±0.11615
"['rdkit', 'maccs']",64,0.75243±0.16140,0.74163±0.13180
"['rdkit', 'mordred']",64,0.74277±0.04540,0.64417±0.10745
"['rdkit', 'morgan','mordred', 'maccs']",64,0.79760±0.11850,0.75680±0.13070
['rdkit'],64,0.73287±0.13115,0.66037±0.13900
['maccs'],256,0.74265±0.15350,0.82675±0.07660
['mordred'],256,0.72300±0.08520,0.66112±0.14230
"['rdkit', 'maccs']",256,0.75757±0.15445,0.77185±0.12900
"['rdkit', 'mordred']",256,0.73630±0.05515,0.67690±0.14175
"['rdkit', 'morgan','mordred', 'maccs']",256,0.79494±0.12295,0.75372±0.13070
['rdkit'],256,0.76022±0.13715,0.68383±0.13900
['maccs'],512,0.72983±0.15665,0.81007±0.07770
['mordred'],512,0.69073±0.06520,0.62160±0.12650
"['rdkit', 'maccs']",512,0.75893±0.16455,0.74013±0.12900
"['rdkit', 'mordred']",512,0.74357±0.04600,0.64157±0.11240
"['rdkit', 'morgan','mordred', 'maccs']",512,0.81380±0.12755,0.75362±0.12815
['rdkit'],512,0.72530±0.13115,0.66590±0.13900
['maccs'],1024,0.72150±0.13975,0.80427±0.07225
['mordred'],1024,0.69303±0.06205,0.62993±0.10740
"['rdkit', 'maccs']",1024,0.87105±0.00595,0.80840±0.06200
"['rdkit', 'mordred']",1024,0.71185±0.01635,0.68105±0.07755
"['rdkit', 'morgan','mordred', 'maccs']",1024,0.81288±0.09710,0.77493±0.09525
['rdkit'],1024,0.84585±0.02305,0.76465±0.01275
['maccs'],2048,0.90560±0.00000,0.84510±0.00000
['mordred'],2048,0.81550±0.00000,0.82120±0.00000
"['mordred', 'maccs']",2048,0.77150±0.11770,0.72697±0.12950
"['rdkit', 'morgan','mordred', 'maccs']",2048,0.88460±0.04920,0.83280±0.04320
"['mordred', 'maccs']",256,0.79670±0.00000,0.83210±0.00000
"['rdkit', 'maccs']",2048,0.86570±0.00000,0.79180±0.00000
"['rdkit', 'mordred']",2048,0.84490±0.00000,0.84940±0.00000
['rdkit'],2048,0.85500±0.00000,0.77740±0.00000
