# PUBCHEM_COMPOUND_CID	ID	SMILES
2804	MUV_810_D_1	CC1CCCC(C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
4235	MUV_810_D_2	O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
4463	MUV_810_D_3	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
4928	MUV_810_D_4	COc1nc(NC(C)C)nc(NC(C)C)n1
5325	MUV_810_D_5	Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
5578	MUV_810_D_6	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
6048	MUV_810_D_7	Cl.c1ccc(CC2=NCCN2)cc1
6872	MUV_810_D_8	O=C(Nc1ccccc1)c1ccccc1O
7564	MUV_810_D_9	Nc1ccc(Nc2ccccc2)cc1
8743	MUV_810_D_10	O=C(O)c1cc(=O)cc(C(=O)O)[nH]1
11352	MUV_810_D_11	Nc1cccc2nc3ccccc3cc12
11373	MUV_810_D_12	Nc1ccc2ncccc2c1
12109	MUV_810_D_13	Cc1ccc(Nc2ccccc2)cc1
12425	MUV_810_D_14	[Na+].O=C1NC([O-])=NC1(c1ccccc1)c1ccccc1
12884	MUV_810_D_15	O=C1c2ccccc2N(c2ccccc2)C1=O
13451	MUV_810_D_16	O=C(Nc1ccccc1)NC1CCCCC1
15680	MUV_810_D_17	Cc1ccc(S(=O)c2ccc(C)cc2)cc1
15807	MUV_810_D_18	CCc1nc2ccccc2[nH]1
16054	MUV_810_D_19	Oc1ccc2[nH]ccc2c1
16175	MUV_810_D_20	COC(=O)c1ccccc1-n1c(C)nc2ccccc2c1=O
16484	MUV_810_D_21	COc1ccc(-c2ccc(OC)cc2)cc1
16559	MUV_810_D_22	O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
20231	MUV_810_D_23	Cc1[nH]c(=O)c(C#N)cc1-c1ccccc1
20557	MUV_810_D_24	O=C1C2(c3ccccc3)CN(CCCO)CC1(c1ccccc1)CN(CCCO)C2
21624	MUV_810_D_25	CCCc1nc2ccccc2[nH]1
22860	MUV_810_D_26	Nc1ccc(OCc2ccccc2)cc1
23466	MUV_810_D_27	Cc1ccccc1C(=O)Nc1ccccc1
26120	MUV_810_D_28	NC(=O)C1CNc2ccccc2O1
27775	MUV_810_D_29	CNc1nc(N(C)C)nc(N(C)C)n1
28446	MUV_810_D_30	CNc1c2c(nn1C)CCCC2
31092	MUV_810_D_31	CCCNC(=O)C1CNc2ccccc2O1
32366	MUV_810_D_32	CC(C)(C)c1nc2ccccc2[nH]1
34312	MUV_810_D_33	NC(=O)N1c2ccccc2CC(=O)c2ccccc21
34863	MUV_810_D_34	CN(C)CC(=O)c1c[nH]c2ccccc12
35306	MUV_810_D_35	CCOc1nc(NC(C)C)nc(NC(C)C)n1
35697	MUV_810_D_36	Cn1c(N2CCOCC2)nc2c1c(=O)n(C)c(=O)n2C
37560	MUV_810_D_37	Nc1ccc(C(=O)Nc2nc3ccccc3s2)cc1
38115	MUV_810_D_38	[I-].C[n+]1ccc(-c2ccncc2)cc1
39450	MUV_810_D_39	CCN(CC)Cc1c[nH]c2ccccc12
42999	MUV_810_D_40	Nc1c(=O)oc2ccccc2c1NCc1ccccc1
43000	MUV_810_D_41	Nc1c(Nc2ccccc2)c2ccccc2oc1=O
43380	MUV_810_D_42	COc1cc(C(=O)Nc2ccc(N(C)C)cc2)cc(OC)c1OC
44827	MUV_810_D_43	COc1ccc2[nH]cc(C(=O)CN3CCCCC3)c2c1
49857	MUV_810_D_44	CC(=O)NCc1cccc(CNC(C)=O)n1
50494	MUV_810_D_45	Nc1c(=O)oc2ccccc2c1NC1CCCCC1
51703	MUV_810_D_46	CCN1CC=C(c2c[nH]c3ccccc23)CC1
52000	MUV_810_D_47	COc1ccccc1Nc1ncnc2nc[nH]c21
54308	MUV_810_D_48	CC(C)(C)NCC(=O)c1c[nH]c2ccccc12
56375	MUV_810_D_49	CCN(CC)CC(=O)c1c[nH]c2ccccc12
